# lemma(1sg.pres)	V;1;SG;IND;PRS	V;2;SG;IND;PRS	V;3;SG;IND;PRS	V;1;PL;IND;PRS	V;2;PL;IND;PRS	V;3;PL;IND;PRS	V;1;SG;IND;IPFV	V;2;SG;IND;IPFV	V;3;SG;IND;IPFV	V;1;PL;IND;IPFV	V;2;PL;IND;IPFV	V;3;PL;IND;IPFV	V;1;SG;IND;PST	V;2;SG;IND;PST	V;3;SG;IND;PST	V;1;PL;IND;PST	V;2;PL;IND;PST	V;3;PL;IND;PST	V;1;SG;ADM;PRS	V;2;SG;ADM;PRS	V;3;SG;ADM;PRS	V;1;PL;ADM;PRS	V;2;PL;ADM;PRS	V;3;PL;ADM;PRS	V;1;SG;ADM;IPFV	V;2;SG;ADM;IPFV	V;3;SG;ADM;IPFV	V;1;PL;ADM;IPFV	V;2;PL;ADM;IPFV	V;3;PL;ADM;IPFV	V;2;SG;IMP	V;2;PL;IMP	V;V.PTCP  ("-" = productive -oj default)
ndihem	ndihem	ndihesh	ndihet	ndihemi	ndiheni	ndihen	ndihesha	ndiheshe	ndihej	ndiheshim	ndiheshit	ndiheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ndihu!	Ndihuni!	ndier
ndjek	ndjek	ndjek	ndjek	ndjekim	ndiqni	ndjekin	ndiqja	ndiqje	ndiqte	ndiqnim	ndiqnit	ndiqnin	ndoqa	ndoqe	ndoqi	ndoqëm	ndoqët	ndoqën	ndjekkam	ndjekke	ndjekka	ndjekkemi	ndjekkeni	ndjekkan	ndjekkësha	ndjekkëshe	ndjekkësh	ndjekkëshim	ndjekkëshit	ndjekkëshin	ndiq	ndiqni	ndjekur
ndjell	ndjell	ndjell	ndjell	ndjellim	ndillni	ndjellin	ndillja	ndillje	ndillte	ndillnim	ndillnit	ndillnin	ndolla	ndolle	ndolli	ndollëm	ndollët	ndollën	ndjellkam	ndjellke	ndjellka	ndjellkemi	ndjellkeni	ndjellkan	ndjellkësha	ndjellkëshe	ndjellkësh	ndjellkëshim	ndjellkëshit	ndjellkëshin	ndill	ndillni	ndjellur
ndodh	ndodh	ndodh	ndodh	ndodhim	ndodhni	ndodhin	ndodhja	ndodhje	ndodhte	ndodhnim	ndodhnit	ndodhnin	ndodha	ndodhe	ndodhi	ndodhëm	ndodhët	ndodhën	ndodhkam	ndodhke	ndodhka	ndodhkemi	ndodhkeni	ndodhkan	ndodhkësha	ndodhkëshe	ndodhkësh	ndodhkëshim	ndodhkëshit	ndodhkëshin	ndodh	ndodhni	ndodhur
ndot	ndot	ndot	ndot	ndotim	ndotni	ndotin	ndotja	ndotje	ndotte	ndotnim	ndotnit	ndotnin	ndota	ndote	ndotndot	ndotëm	ndotët	ndotën	ndotkam	ndotke	ndotka	ndotkemi	ndotkeni	ndotkan	ndotkësha	ndotkëshe	ndotkësh	ndotkëshim	ndotkëshit	ndotkëshin	ndot	ndotni	ndotur
ndrag	ndrag	ndrag	ndrag	ndragim	ndragni	ndragin	ndragja	ndragje	ndragte	ndragnim	ndragnit	ndragnin	ndraga	ndrage	ndragi	ndragëm	ndragët	ndragën	ndragkam	ndragke	ndragka	ndragkemi	ndragkeni	ndragkan	ndragkësha	ndragkëshe	ndragkësh	ndragkëshim	ndragkëshit	ndragkëshin	ndrag	ndragni	ndragur
ndreq	ndreq	ndreq	ndreq	ndreqim	ndreqni	ndreqin	ndreqja	ndreqje	ndreqte	ndreqnim	ndreqnit	ndreqnin	ndreqa	ndreqe	ndreqndreq	ndreqëm	ndreqët	ndreqën	ndreqkam	ndreqke	ndreqka	ndreqkemi	ndreqkeni	ndreqkan	ndreqkësha	ndreqkëshe	ndreqkësh	ndreqkëshim	ndreqkëshit	ndreqkëshin	ndreq	ndreqni	ndrequr
ndrydh	ndrydh	ndrydh	ndrydh	ndrydhim	ndrydhni	ndrydhin	ndrydhja	ndrydhje	ndrydhte	ndrydhnim	ndrydhnit	ndrydhnin	ndrydha	ndrydhe	ndrydhi	ndrydhëm	ndrydhët	ndrydhën	ndrydhkam	ndrydhke	ndrydhka	ndrydhkemi	ndrydhkeni	ndrydhkan	ndrydhkësha	ndrydhkëshe	ndrydhkësh	ndrydhkëshim	ndrydhkëshit	ndrydhkëshin	ndrydh	ndrydhni	ndrydhur
ndrys	ndrys	ndrys	ndrys	ndrysim	ndrysni	ndrysin	ndrysja	ndrysje	ndryste	ndrysnim	ndrysnit	ndrysnin	ndrysa	ndryse	ndrysi	ndrysëm	ndrysët	ndrysën	ndryskam	ndryske	ndryska	ndryskemi	ndryskeni	ndryskan	ndryskësha	ndryskëshe	ndryskësh	ndryskëshim	ndryskëshit	ndryskëshin	ndrys	ndrysni	ndrysur
ndryshohem	ndryshohem	ndryshohesh	ndryshohet	ndryshohemi	ndryshoheni	ndryshohen	ndryshohesha	ndryshoheshe	ndryshohej	ndryshoheshim	ndryshoheshit	ndryshoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ndryshohu	ndryshohuni	ndryshuar
nduk	nduk	nduk	nduk	ndukim	ndukni	ndukin	ndukja	ndukje	ndukte	nduknim	nduknit	nduknin	nduka	nduke	nduki	ndukëm	ndukët	ndukën	ndukkam	ndukke	ndukka	ndukkemi	ndukkeni	ndukkan	ndukkësha	ndukkëshe	ndukkësh	ndukkëshim	ndukkëshit	ndukkëshin	nduk	ndukni	ndukur
ndërsej	ndërsej	ndërsen	ndërsen	ndërsejmë	ndërseni	ndërsejnë	ndërseja	ndërseje	ndërsente	ndërsenim	ndërsenit	ndërsenin	ndërseva	ndërseve	ndërseu	ndërsyem	ndërsyet	ndërsyen	ndërsyekam	ndërsyeke	ndërsyeka	ndërsyekemi	ndërsyekeni	ndërsyekan	ndërsyekësha	ndërsyekëshe	ndërsyekësh	ndërsyekëshim	ndërsyekëshit	ndërsyekëshin	ndërse	ndërseni	ndërsyer
neverit	neverit	neverit	neverit	neveritim	neveritni	neveritin	neveritja	neveritje	neveritte	neveritnim	neveritnit	neveritnin	neverita	neverite	neveriti	neveritëm	neveritët	neveritën	neveritkam	neveritke	neveritka	neveritkemi	neveritkeni	neveritkan	neveritkësha	neveritkëshe	neveritkësh	neveritkëshim	neveritkëshit	neveritkëshin	neverit	neveritni	neveritur
ngadhënjej	ngadhënjej	ngadhënjen	ngadhënjen	ngadhënjejmë	ngadhënjeni	ngadhënjejnë	ngadhënjeja	ngadhënjeje	ngadhënjente	ngadhënjenim	ngadhënjenit	ngadhënjenin	ngadhënjeva	ngadhënjeve	ngadhënjeu	ngadhënjyem	ngadhënjyet	ngadhënjyen	ngadhënjyekam	ngadhënjyeke	ngadhënjyeka	ngadhënjyekemi	ngadhënjyekeni	ngadhënjyekan	ngadhënjyekësha	ngadhënjyekëshe	ngadhënjyekësh	ngadhënjyekëshim	ngadhënjyekëshit	ngadhënjyekëshin	ngadhënje	ngadhënjeni	ngadhënjyer
ngalem	ngalem	ngalesh	ngalet	ngalemi	ngaleni	ngalen	ngalesha	ngaleshe	ngalej	ngaleshim	ngaleshit	ngaleshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ngalu	ngaluni	ngalur
ngallit	ngallit	ngallit	ngallit	ngallitim	ngallitni	ngallitin	ngallitja	ngallitje	ngallitte	ngallitnim	ngallitnit	ngallitnin	ngallita	ngallite	ngalliti	ngallitëm	ngallitët	ngallitën	ngallitkam	ngallitke	ngallitka	ngallitkemi	ngallitkeni	ngallitkan	ngallitkësha	ngallitkëshe	ngallitkësh	ngallitkëshim	ngallitkëshit	ngallitkëshin	ngallit	ngallitni	ngallitur
ngath	ngath	ngath	ngath	ngathim	ngathni	ngathin	ngathja	ngathje	ngathte	ngathnim	ngathnit	ngathnin	ngatha	ngathe	ngathi	ngathëm	ngathët	ngathën	ngathkam	ngathke	ngathka	ngathkemi	ngathkeni	ngathkan	ngathkësha	ngathkëshe	ngathkësh	ngathkëshim	ngathkëshit	ngathkëshin	ngath	ngathni	ngathur
ngec	ngec	ngec	ngec	ngecim	ngecni	ngecin	ngecja	ngecje	ngecte	ngecnim	ngecnit	ngecnin	ngeca	ngece	ngeci	ngecëm	ngecët	ngecën	ngeckam	ngecke	ngecka	ngeckemi	ngeckeni	ngeckan	ngeckësha	ngeckëshe	ngeckësh	ngeckëshim	ngeckëshit	ngeckëshin	ngec	ngecni	ngecur
ngel	ngel	ngel	ngel	ngelim	ngelni	ngelin	ngelja	ngelje	ngelte	ngelnim	ngelnit	ngelnin	ngela	ngele	ngelngel	ngelëm	ngelët	ngelën	ngelkam	ngelke	ngelka	ngelkemi	ngelkeni	ngelkan	ngelkësha	ngelkëshe	ngelkësh	ngelkëshim	ngelkëshit	ngelkëshin	ngel	ngelni	ngelur
ngjall	ngjall	ngjall	ngjall	ngjallim	ngjallni	ngjallin	ngjallja	ngjallje	ngjallte	ngjallnim	ngjallnit	ngjallnin	ngjalla	ngjalle	ngjalli	ngjallëm	ngjallët	ngjallën	ngjallkam	ngjallke	ngjallka	ngjallkemi	ngjallkeni	ngjallkan	ngjallkësha	ngjallkëshe	ngjallkësh	ngjallkëshim	ngjallkëshit	ngjallkëshin	ngjall	ngjallni	ngjallur
ngjesh	ngjesh	ngjesh	ngjesh	ngjeshim	ngjeshni	ngjeshin	ngjeshja	ngjeshje	ngjeshte	ngjeshnim	ngjeshnit	ngjeshnin	ngjesha	ngjeshe	ngjeshi	ngjeshëm	ngjeshët	ngjeshën	ngjeshkam	ngjeshke	ngjeshka	ngjeshkemi	ngjeshkeni	ngjeshkan	ngjeshkësha	ngjeshkëshe	ngjeshkësh	ngjeshkëshim	ngjeshkëshit	ngjeshkëshin	ngjesh	ngjeshni	ngjeshur
ngjit	ngjit	ngjit	ngjit	ngjitim	ngjitni	ngjitin	ngjitja	ngjitje	ngjitte	ngjitnim	ngjitnit	ngjitnin	ngjita	ngjite	ngjiti	ngjitëm	ngjitët	ngjitën	ngjitkam	ngjitke	ngjitka	ngjitkemi	ngjitkeni	ngjitkan	ngjitkësha	ngjitkëshe	ngjitkësh	ngjitkëshim	ngjitkëshit	ngjitkëshin	ngjit	ngjitni	ngjitur
ngjitem	ngjitem	ngjitesh	ngjitet	ngjitemi	ngjiteni	ngjiten	ngjitesha	ngjiteshe	ngjitej	ngjiteshim	ngjiteshit	ngjiteshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ngjitu	ngjituni	ngjituar
ngjok	ngjok	ngjok	ngjok	ngjokim	ngjokni	ngjokin	ngjokja	ngjokje	ngjokte	ngjoknim	ngjoknit	ngjoknin	ngjoka	ngjoke	ngjoku	ngjokëm	ngjokët	ngjokën	ngjokkam	ngjokke	ngjokka	ngjokkemi	ngjokkeni	ngjokkan	ngjokkësha	ngjokkëshe	ngjokkësh	ngjokkëshim	ngjokkëshit	ngjokkëshin	ngjok	ngjokni	ngjokur
ngjyej	ngjyej	ngjyen	ngjyen	ngjyejmë	ngjyeni	ngjyejnë	ngjyeja	ngjyeje	ngjyente	ngjyenim	ngjyenit	ngjyenin	ngjeva	ngjeve	ngjeu	ngjyem	ngjyet	ngjyen	ngjyekam	ngjyeke	ngjyeka	ngjyekemi	ngjyekeni	ngjyekan	ngjyekësha	ngjyekëshe	ngjyekësh	ngjyekëshim	ngjyekëshit	ngjyekëshin	ngjye	ngjyeni	ngjyer
ngop	ngop	ngop	ngop	ngopim	ngopni	ngopin	ngopja	ngopje	ngopte	ngopnim	ngopnit	ngopnin	ngopa	ngope	ngopi	ngopëm	ngopët	ngopën	ngopkam	ngopke	ngopka	ngopkemi	ngopkeni	ngopkan	ngopkësha	ngopkëshe	ngopkësh	ngopkëshim	ngopkëshit	ngopkëshin	ngop	ngopni	ngopur
ngordh	ngordh	ngordh	ngordh	ngordhim	ngordhni	ngordhin	ngordhja	ngordhje	ngordhte	ngordhnim	ngordhnit	ngordhnin	ngordha	ngordhe	ngordhi	ngordhëm	ngordhët	ngordhën	ngordhkam	ngordhke	ngordhka	ngordhkemi	ngordhkeni	ngordhkan	ngordhkësha	ngordhkëshe	ngordhkësh	ngordhkëshim	ngordhkëshit	ngordhkëshin	ngordh	ngordhni	ngordhur
ngre	ngre	ngre	ngre	ngremë	ngrini	ngrenë	ngrija	ngrije	ngrinte	ngrinim	ngrinit	ngrinin	ngrita	ngrite	ngriti	ngritëm	ngritët	ngritën	ngritkam	ngritke	ngritka	ngritkemi	ngritkeni	ngritkan	ngritkësha	ngritkëshe	ngritkësh	ngritkëshim	ngritkëshit	ngritkëshin	ngri	ngrini	ngritur
ngredh	ngredh	ngredh	ngredh	ngredhim	ngredhni	ngredhin	ngredhja	ngredhje	ngredhte	ngredhnim	ngredhnit	ngredhnin	ngredha	ngredhe	ngredhi	ngredhëm	ngredhët	ngredhën	ngredhkam	ngredhke	ngredhka	ngredhkemi	ngredhkeni	ngredhkan	ngredhkësha	ngredhkëshe	ngredhkësh	ngredhkëshim	ngredhkëshit	ngredhkëshin	ngredh	ngredhni	ngredhur
ngrihem	ngrihem	ngrihesh	ngrihet	ngrihemi	ngriheni	ngrihen	ngrihesha	ngriheshe	ngrihesh	ngriheshim	ngriheshit	ngriheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ngrihu	ngrihuni	ngritur
ngrij	ngrij	ngrin	ngrin	ngrijmë	ngrini	ngrijnë	ngrija	ngrije	ngrinte	ngrinim	ngrinit	ngrinin	ngriva	ngrive	ngriu	ngrimë	ngritë	ngrinë	ngrikam	ngrike	ngrika	ngrikemi	ngrikeni	ngrikan	ngrikësha	ngrikëshe	ngrikësh	ngrikëshim	ngrikëshit	ngrikëshin	ngri	ngrini	ngrirë
ngroh	ngroh	ngroh	ngroh	ngrohim	ngrohni	ngrohin	ngrohja	ngrohje	ngrohte	ngrohnim	ngrohnit	ngrohnin	ngroha	ngrohe	ngrohu	ngrohëm	ngrohët	ngrohën	ngrohkam	ngrohke	ngrohka	ngrohkemi	ngrohkeni	ngrohkan	ngrohkësha	ngrohkëshe	ngrohkësh	ngrohkëshim	ngrohkëshit	ngrohkëshin	ngroh	ngrohni	ngrohur
ngrydh	ngrydh	ngrydh	ngrydh	ngrydhim	ngrydhni	ngrydhin	ngrydhja	ngrydhje	ngrydhte	ngrydhnim	ngrydhnit	ngrydhnin	ngrydha	ngrydhe	ngrydhi	ngrydhëm	ngrydhët	ngrydhën	ngrydhkam	ngrydhke	ngrydhka	ngrydhkemi	ngrydhkeni	ngrydhkan	ngrydhkësha	ngrydhkëshe	ngrydhkësh	ngrydhkëshim	ngrydhkëshit	ngrydhkëshin	ngrydh	ngrydhni	ngrydhur
ngrys	ngrys	ngrys	ngrys	ngrysim	ngrysni	ngrysin	ngrysja	ngrysje	ngryste	ngrysnim	ngrysnit	ngrysnin	ngrysa	ngryse	ngrysi	ngrysëm	ngrysët	ngrysën	ngryskam	ngryske	ngryska	ngryskemi	ngryskeni	ngryskan	ngryskësha	ngryskëshe	ngryskësh	ngryskëshim	ngryskëshit	ngryskëshin	ngrys	ngrysni	ngrysur
ngush	ngush	ngush	ngush	ngushim	ngushni	ngushin	ngushja	ngushje	ngushte	ngushnim	ngushnit	ngushnin	ngusha	ngushe	ngushi	ngushëm	ngushët	ngushën	ngushkam	ngushke	ngushka	ngushkemi	ngushkeni	ngushkan	ngushkësha	ngushkëshe	ngushkësh	ngushkëshim	ngushkëshit	ngushkëshin	ngush	ngushni	ngushur
ngut	ngut	ngut	ngut	ngutim	ngutni	ngutin	ngutja	ngutje	ngutte	ngutnim	ngutnit	ngutnin	nguta	ngute	nguti	ngutëm	ngutët	ngutën	ngutkam	ngutke	ngutka	ngutkemi	ngutkeni	ngutkan	ngutkësha	ngutkëshe	ngutkësh	ngutkëshim	ngutkëshit	ngutkëshin	ngut	ngutni	ngutur
ngërdhej	ngërdhej	ngërdhen	ngërdhen	ngërdhejmë	ngërdheni	ngërdhejnë	ngërdheja	ngërdheje	ngërdhente	ngërdhenim	ngërdhenit	ngërdhenin	ngërdheva	ngërdheve	ngërdheu	ngërdhyem	ngërdhyet	ngërdhyen	ngërdhyekam	ngërdhyeke	ngërdhyeka	ngërdhyekemi	ngërdhyekeni	ngërdhyekan	ngërdhyekësha	ngërdhyekëshe	ngërdhyekësh	ngërdhyekëshim	ngërdhyekëshit	ngërdhyekëshin	ngërdhe	ngërdheni	ngërdhyer
ngërdhesh	ngërdhesh	ngërdhesh	ngërdhesh	ngërdheshim	ngërdheshni	ngërdheshin	ngërdheshja	ngërdheshje	ngërdheshte	ngërdheshnim	ngërdheshnit	ngërdheshnin	ngërdhesha	ngërdheshe	ngërdheshi	ngërdheshëm	ngërdheshët	ngërdheshën	ngërdheshkam	ngërdheshke	ngërdheshka	ngërdheshkemi	ngërdheshkeni	ngërdheshkan	ngërdheshkësha	ngërdheshkëshe	ngërdheshkësh	ngërdheshkëshim	ngërdheshkëshit	ngërdheshkëshin	ngërdhesh	ngërdheshni	ngërdheshur
ngërthej	ngërthej	ngërthen	ngërthen	ngërthejmë	ngërtheni	ngërthejnë	ngërtheja	ngërtheje	ngërthente	ngërthenim	ngërthenit	ngërthenin	ngërtheva	ngërtheve	ngërtheu	ngërthyem	ngërthyet	ngërthyen	ngërthyekam	ngërthyeke	ngërthyeka	ngërthyekemi	ngërthyekeni	ngërthyekan	ngërthyekësha	ngërthyekëshe	ngërthyekësh	ngërthyekëshim	ngërthyekëshit	ngërthyekëshin	ngërthe	ngërtheni	ngërthyer
njeh	njeh	njeh	njeh	njehim	njehni	njehin	njehja	njehje	njehte	njehnim	njehnit	njehnin	njeha	njehe	njehu	njehëm	njehët	njehën	njehkam	njehke	njehka	njehkemi	njehkeni	njehkan	njehkësha	njehkëshe	njehkësh	njehkëshim	njehkëshit	njehkëshin	njeh	njehni	njehur
njollos	njollos	njollos	njollos	njollosim	njollosni	njollosin	njollosja	njollosje	njolloste	njollosnim	njollosnit	njollosnin	njollosa	njollose	njollosi	njollosëm	njollosët	njollosën	njolloskam	njolloske	njolloska	njolloskemi	njolloskeni	njolloskan	njolloskësha	njolloskëshe	njolloskësh	njolloskëshim	njolloskëshit	njolloskëshin	njollos	njollosni	njollosur
njom	njom	njom	njom	njomim	njomni	njomin	njomja	njomje	njomte	njomnim	njomnit	njomnin	njoma	njome	njomi	njomëm	njomët	njomën	njomkam	njomke	njomka	njomkemi	njomkeni	njomkan	njomkësha	njomkëshe	njomkësh	njomkëshim	njomkëshit	njomkëshin	njom	njomni	njomur
nuhat	nuhat	nuhat	nuhat	nuhatim	nuhatni	nuhatin	nuhatja	nuhatje	nuhatte	nuhatnim	nuhatnit	nuhatnin	nuhata	nuhate	nuhati	nuhatëm	nuhatët	nuhatën	nuhatkam	nuhatke	nuhatka	nuhatkemi	nuhatkeni	nuhatkan	nuhatkësha	nuhatkëshe	nuhatkësh	nuhatkëshim	nuhatkëshit	nuhatkëshin	nuhat	nuhatni	nuhatur
numëroj	numeroj	numeron	numeron	numerojmë	numeroni	numerojnë	numeroja	numeroje	numeronte	numeronim	numeronit	numeronin	numerova	numerove	numeroi	numeruam	numeruat	numeruan	numeruakam	numeruake	numeruaka	numeruakemi	numeruakeni	numeruakan	numeruakësha	numeruakëshe	numeruakësh	numeruakëshim	numeruakëshit	numeruakëshin	numero	numeroni	numeruar
nxeh	nxeh	nxeh	nxeh	nxehim	nxehni	nxehin	nxehja	nxehje	nxehte	nxehnim	nxehnit	nxehnin	nxeha	nxehe	nxehu	nxehëm	nxehët	nxehën	nxehkam	nxehke	nxehka	nxehkemi	nxehkeni	nxehkan	nxehkësha	nxehkëshe	nxehkësh	nxehkëshim	nxehkëshit	nxehkëshin	nxeh	nxehni	nxehur
nxehem	nxehem	nxehesh	nxehet	nxehemi	nxeheni	nxehen	nxehesha	nxeheshe	nxehej	nxeheshim	nxeheshit	nxeheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nxehu	nxehuni	nxehur
nxit	nxit	nxit	nxit	nxitim	nxitni	nxitin	nxitja	nxitje	nxitte	nxitnim	nxitnit	nxitnin	nxita	nxite	nxiti	nxitëm	nxitët	nxitën	nxitkam	nxitke	nxitka	nxitkemi	nxitkeni	nxitkan	nxitkësha	nxitkëshe	nxitkësh	nxitkëshim	nxitkëshit	nxitkëshin	nxit	nxitni	nxitur
nxë	nxë	nxë	nxë	nxëmë	nxini	nxënë	nxija	nxije	nxinte	nxinim	nxinit	nxinin	nxura	nxure	nxuri	nxumë	nxutë	nxunë	nxënkam	nxënke	nxënka	nxënkemi	nxënkeni	nxënkan	nxënkësha	nxënkëshe	-	nxënkëshim	nxënkëshit	nxënkëshin	nxër	nxini	nxënë
nënshkruaj	nënshkruaj	nënshkruan	nënshkruan	nënshkruajmë	nënshkruani	nënshkruajnë	nënshkruaja	nënshkruaje	nënshkruante	nënshkruanim	nënshkruanit	nënshkruanin	nënshkrova	nënshkrove	nënshkroi	nënshkruam	nënshkruat	nënshkruan	nënshkruakam	nënshkruake	nënshkruaka	nënshkruakemi	nënshkruakeni	nënshkruakan	nënshkruakësha	nënshkruakëshe	nënshkruakësh	nënshkruakëshim	nënshkruakëshit	nënshkruakëshin	nënshkruaj	nënshkruani	nënshkruar
ofshaj	ofshaj	ofshan	ofshan	ofshajmë	ofshani	ofshajnë	ofshaja	ofshaje	ofshante	ofshanim	ofshanit	ofshanin	ofshava	ofshave	ofshau	ofshamë	ofshatë	ofshanë	ofshakam	ofshake	ofshaka	ofshakemi	ofshakeni	ofshakan	ofshakësha	ofshakëshe	ofshakësh	ofshakëshim	ofshakëshit	ofshakëshin	ofshaj	ofshani	ofsharë
osh	osh	osh	osh	oshim	oshni	oshin	oshja	oshje	oshte	oshnim	oshnit	oshnin	osha	oshe	oshi	oshëm	oshët	oshën	oshkam	oshke	oshka	oshkemi	oshkeni	oshkan	oshkësha	oshkëshe	oshkësh	oshkëshim	oshkëshit	oshkëshin	osh	oshni	oshur
padit	padit	padit	padit	paditim	paditni	paditin	paditja	paditje	paditte	paditnim	paditnit	paditnin	padita	padite	paditi	paditëm	paditët	paditën	paditkam	paditke	paditka	paditkemi	paditkeni	paditkan	paditkësha	paditkëshe	paditkësh	paditkëshim	paditkëshit	paditkëshin	padit	paditni	paditur
paguaj	paguaj	paguan	paguan	paguajmë	paguani	paguajnë	paguaja	paguaje	paguante	paguanim	paguanit	paguanin	pagova	pagove	pagoi	paguam	paguat	paguan	paguakam	paguake	paguaka	paguakemi	paguakeni	paguakan	paguakësha	paguakëshe	paguakësh	paguakëshim	paguakëshit	paguakëshin	paguaj	paguani	paguar
pajtoj	pajtohem	pajtohesh	pajtohet	pajtohemi	pajtoheni	pajtohen	pajtohesha	pajtoheshe	pajtohej	pajtoheshim	pajtoheshit	pajtoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pajtohuni	-
pak	pak	pak	pak	pakim	pakni	pakin	pakja	pakje	pakte	paknim	paknit	paknin	paka	pake	paki	pakëm	pakët	pakën	pakkam	pakke	pakka	pakkemi	pakkeni	pakkan	pakkësha	pakkëshe	pakkësh	pakkëshim	pakkëshit	pakkëshin	pak	pakni	pakur
pall	pall	pall	pall	pallim	pallni	pallin	pallja	pallje	pallte	pallnim	pallnit	pallnin	palla	palle	palli	pallëm	pallët	pallën	pallkam	pallke	pallka	pallkemi	pallkeni	pallkan	pallkësha	pallkëshe	pallkësh	pallkëshim	pallkëshit	pallkëshin	pall	pallni	pallur
palos	palos	palos	palos	palosim	palosni	palosin	palosja	palosje	paloste	palosnim	palosnit	palosnin	palosa	palose	palosi	palosëm	palosët	palosën	paloskam	paloske	paloska	paloskemi	paloskeni	paloskan	paloskësha	paloskëshe	paloskësh	paloskëshim	paloskëshit	paloskëshin	palos	palosni	palosur
parapëlqej	parapëlqej	parapëlqen	parapëlqen	parapëlqejmë	parapëlqeni	parapëlqejnë	parapëlqeja	parapëlqeje	parapëlqente	parapëlqenim	parapëlqenit	parapëlqenin	parapëlqeva	parapëlqeve	parapëlqeu	parapëlqyem	parapëlqyet	parapëlqyen	parapëlqyekam	parapëlqyeke	parapëlqyeka	parapëlqyekemi	parapëlqyekeni	parapëlqyekan	parapëlqyekësha	parapëlqyekëshe	parapëlqyekësh	parapëlqyekëshim	parapëlqyekëshit	parapëlqyekëshin	parapëlqe	parapëlqeni	parapëlqyer
pastrohem	pastrohem	pastrohesh	pastrohet	pastrohemi	pastroheni	pastrohen	pastrohesha	pastroheshe	pastrohej	pastroheshim	pastroheshit	pastroheshin	pastrova	pastrove	pastroi	pastruam	pastruat	pastruan	pastruakam	pastruake	pastruaka	pastruakemi	pastruakeni	pastruakan	pastruakësha	pastruakëshe	pastruakësh	pastruakëshim	pastruakëshit	pastruakëshin	pastro	pastrohuni	pastruar
pasurohem	pasurohem	pasurohesh	pasurohet	pasurohemi	pasuroheni	pasurohen	pasurohesha	pasuroheshe	pasurohej	pasuroheshim	pasuroheshit	pasuroheshin	pasurova	pasurove	pasuroi	pasuruam	pasuruat	pasuruan	pasuruakam	pasuruake	pasuruaka	pasuruakemi	pasuruakeni	pasuruakan	pasuruakësha	pasuruakëshe	pasuruakësh	pasuruakëshim	pasuruakëshit	pasuruakëshin	pasuro	pasurohuni	pasuruar
pasuroj	pasurohem	pasurohesh	pasurohet	pasurohemi	pasuroheni	pasurohen	pasurohesha	pasuroheshe	pasurohej	pasuroheshim	pasuroheshit	pasuroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pasurohuni	-
pendohem	pendohem	pendohesh	pendohet	pendohemi	pendoheni	pendohen	pendohesha	pendoheshe	pendohej	pendoheshim	pendoheshit	pendoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pendohu	pendohuni	penduar
perkat	perkat	perkat	perkat	perkatim	perkatni	perkatin	perkatja	perkatje	perkatte	perkatnim	perkatnit	perkatnin	perkata	perkate	perkati	perkatëm	perkatët	perkatën	perkatkam	perkatke	perkatka	perkatkemi	perkatkeni	perkatkan	perkatkësha	perkatkëshe	perkatkësh	perkatkëshim	perkatkëshit	perkatkëshin	perkat	perkatni	perkatur
peshohem	peshohem	peshohesh	peshohet	peshohemi	peshoheni	peshohen	peshohesha	peshoheshe	peshohej	peshoheshim	peshoheshit	peshoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	peshohu	peshohuni	peshuar
pikas	pikas	pikas	pikas	pikasim	pikasni	pikasin	pikasja	pikasje	pikaste	pikasnim	pikasnit	pikasnin	pikasa	pikase	pikasi	pikasëm	pikasët	pikasën	pikaskam	pikaske	pikaska	pikaskemi	pikaskeni	pikaskan	pikaskësha	pikaskëshe	pikaskësh	pikaskëshim	pikaskëshit	pikaskëshin	pikas	pikasni	pikasur
pjek	pjek	pjek	pjek	pjekim	pikni	pjekin	pikja	pikje	pikte	piknim	piknit	piknin	poka	poke	poki	pokëm	pokët	pokën	pjekkam	pjekke	pjekka	pjekkemi	pjekkeni	pjekkan	pjekkësha	pjekkëshe	pjekkësh	pjekkëshim	pjekkëshit	pjekkëshin	pik	pikni	pjekur
pjell	pjell	pjell	pjell	pjellim	pillni	pjellin	pillja	pillje	pillte	pillnim	pillnit	pillnin	polla	polle	polli	pollëm	pollët	pollën	pjellkam	pjellke	pjellka	pjellkemi	pjellkeni	pjellkan	pjellkësha	pjellkëshe	pjellkësh	pjellkëshim	pjellkëshit	pjellkëshin	pill	pillni	pjellë
