# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
aldatmaq	aldadıram	aldadırsan	aldadır	aldadırıq	aldadırsınız	aldadırlar	-	-	-	-	-	-	aldadacağam	aldadacaqsan	aldadacaq	aldadacağıq	aldadacaqsınız	aldadacaqlar	aldadaram	aldadarsan	aldadar	aldadarıq	aldadarsınız	aldadarlar	-	aldadalım	-
yormaq	yorıram	yorırsan	yorır	yorırıq	yorırsınız	yorırlar	yordım	yordın	yordı	yordıq	yordınız	yordılar	-	-	-	yoracağıq	yoracaqsınız	-	-	-	-	yorarıq	yorarsınız	-	-	yoralım	-
yorulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yorulacağıq	yorulacaqsınız	-	-	-	-	yorularıq	yorularsınız	-	-	-	-
yozmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yozacağıq	yozacaqsınız	-	-	-	-	yozarıq	yozarsınız	-	-	-	-
yoğurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yoğuracağıq	yoğuracaqsınız	-	-	-	-	yoğurarıq	yoğurarsınız	-	-	-	-
yumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yuyacağıq	yuyacaqsınız	-	-	-	-	yuyarıq	yuyarsınız	-	-	-	-
yummaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yumacağıq	yumacaqsınız	-	-	-	-	yumarıq	yumarsınız	-	-	-	-
yumşaltmaq	yumşaldıram	yumşaldırsan	yumşaldır	yumşaldırıq	yumşaldırsınız	yumşaldırlar	-	-	-	-	-	-	yumşaldacağam	yumşaldacaqsan	yumşaldacaq	yumşaldacağıq	yumşaldacaqsınız	yumşaldacaqlar	yumşaldaram	yumşaldarsan	yumşaldar	yumşaldarıq	yumşaldarsınız	yumşaldarlar	-	yumşaldalım	-
yuyunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yuyunacağıq	yuyunacaqsınız	-	-	-	-	yuyunarıq	yuyunarsınız	-	-	-	-
yönəltmək	yönəldirəm	yönəldirsən	yönəldir	yönəldirik	yönəldirsiniz	yönəldirlər	-	-	-	-	-	-	yönəldəcəyəm	yönəldəcəksən	yönəldəcək	yönəldəcəyik	yönəldəcəksiniz	yönəldəcəklər	yönəldərəm	yönəldərsən	yönəldər	yönəldərik	yönəldərsiniz	yönəldərlər	-	yönəldin	-
yüksəltmək	yüksəldirəm	yüksəldirsən	yüksəldir	yüksəldirik	yüksəldirsiniz	yüksəldirlər	-	-	-	-	-	-	yüksəldəcəyəm	yüksəldəcəksən	yüksəldəcək	yüksəldəcəyik	yüksəldəcəksiniz	yüksəldəcəklər	yüksəldərəm	yüksəldərsən	yüksəldər	yüksəldərik	yüksəldərsiniz	yüksəldərlər	-	yüksəldin	-
yürümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yürüyəcəyik	yürüyəcəksiniz	-	-	-	-	yürüyərik	yürüyərsiniz	-	-	-	-
yürütmək	yürüdürəm	yürüdürsən	yürüdür	yürüdürük	yürüdürsünüz	yürüdürlər	-	-	-	-	-	-	yürüdəcəyəm	yürüdəcəksən	yürüdəcək	yürüdəcəyik	yürüdəcəksiniz	yürüdəcəklər	yürüdərəm	yürüdərsən	yürüdər	yürüdərik	yürüdərsiniz	yürüdərlər	-	yürüdün	-
yüyürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yüyürəcəyik	yüyürəcəksiniz	-	-	-	-	yüyürərik	yüyürərsiniz	-	-	-	-
zəiflətmək	zəiflədirəm	zəiflədirsən	zəiflədir	zəiflədirik	zəiflədirsiniz	zəiflədirlər	-	-	-	-	-	-	zəiflədəcəyəm	zəiflədəcəksən	zəiflədəcək	zəiflədəcəyik	zəiflədəcəksiniz	zəiflədəcəklər	zəiflədərəm	zəiflədərsən	zəiflədər	zəiflədərik	zəiflədərsiniz	zəiflədərlər	-	zəiflədin	-
zərərsizləşmək	zərərsizləşrm	zərərsizləşrsn	zərərsizləşr	zərərsizləşr	zərərsizləşrsnz	zərərsizləşrlr	zərərsizləşdm	zərərsizləşdn	zərərsizləşd	zərərsizləşd	zərərsizləşdnz	zərərsizləşdlr	zərərsizləşcm	zərərsizləşcsn	zərərsizləşc	zərərsizləşc	zərərsizləşcsnz	zərərsizləşclr	zərərsizləşrm	zərərsizləşrsn	zərərsizləşr	zərərsizləşr	zərərsizləşrsnz	zərərsizləşrlr	-	zərərsizləş	zərərsizləşm
çoxaltmaq	çoxaldıram	çoxaldırsan	çoxaldır	çoxaldırıq	çoxaldırsınız	çoxaldırlar	-	-	-	-	-	-	çoxaldacağam	çoxaldacaqsan	çoxaldacaq	çoxaldacağıq	çoxaldacaqsınız	çoxaldacaqlar	çoxaldaram	çoxaldarsan	çoxaldar	çoxaldarıq	çoxaldarsınız	çoxaldarlar	-	çoxaldalım	-
çökmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	çökəcəyik	çökəcəksiniz	-	-	-	-	çökərik	çökərsiniz	-	-	-	-
çönmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	çönəcəyik	çönəcəksiniz	-	-	-	-	çönərik	çönərsiniz	-	-	-	-
çözələmək	çözələyürəm	çözələyürsən	çözələyür	çözələyürük	çözələyürsünüz	çözələyürlər	çözələdüm	çözələdün	çözələdü	çözələdük	çözələdünüz	çözələdülər	-	-	-	-	-	-	-	-	-	-	-	-	-	çözələsünlər	-
çürümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	çürüyəcəyik	çürüyəcəksiniz	-	-	-	-	çürüyərik	çürüyərsiniz	-	-	-	-
çırpışdırmaq	çırpışdırrm	çırpışdırrsn	çırpışdırr	çırpışdırr	çırpışdırrsnz	çırpışdırrlr	çırpışdırdm	çırpışdırdn	çırpışdırd	çırpışdırd	çırpışdırdnz	çırpışdırdlr	çırpışdırcm	çırpışdırcsn	çırpışdırc	çırpışdırc	çırpışdırcsnz	çırpışdırclr	çırpışdırrm	çırpışdırrsn	çırpışdırr	çırpışdırr	çırpışdırrsnz	çırpışdırrlr	-	çırpışdır	çırpışdırm
çıxartmaq	çıxardıram	çıxardırsan	çıxardır	çıxardırıq	çıxardırsınız	çıxardırlar	-	-	-	-	-	-	çıxardacağam	çıxardacaqsan	çıxardacaq	çıxardacağıq	çıxardacaqsınız	çıxardacaqlar	çıxardaram	çıxardarsan	çıxardar	çıxardarıq	çıxardarsınız	çıxardarlar	-	çıxardalım	-
öldürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öldürəcəyik	öldürəcəksiniz	-	-	-	-	öldürərik	öldürərsiniz	-	-	-	-
öldürtmək	öldürdürəm	öldürdürsən	öldürdür	öldürdürük	öldürdürsünüz	öldürdürlər	-	-	-	-	-	-	öldürdəcəyəm	öldürdəcəksən	öldürdəcək	öldürdəcəyik	öldürdəcəksiniz	öldürdəcəklər	öldürdərəm	öldürdərsən	öldürdər	öldürdərik	öldürdərsiniz	öldürdərlər	-	öldürdün	-
öldürülmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öldürüləcəyik	öldürüləcəksiniz	-	-	-	-	öldürülərik	öldürülərsiniz	-	-	-	-
ölmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öləcəyik	öləcəksiniz	-	-	-	-	ölərik	ölərsiniz	-	-	-	-
ölçmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ölçəcəyik	ölçəcəksiniz	-	-	-	-	ölçərik	ölçərsiniz	-	-	-	-
önəlmək	önəlıram	önəlırsan	önəlır	önəlırıq	önəlırsınız	önəlırlar	önəldım	önəldın	önəldı	önəldıq	önəldınız	önəldılar	önəlacağam	önəlacaqsan	önəlacaq	önəlacağıq	önəlacaqsınız	önəlacaqlar	önəlaram	önəlarsan	önəlar	önəlarıq	önəlarsınız	önəlarlar	-	önəlalım	önəlmaq
öpmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öpəcəyik	öpəcəksiniz	-	-	-	-	öpərik	öpərsiniz	-	-	-	-
öpüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öpüşəcəyik	öpüşəcəksiniz	-	-	-	-	öpüşərik	öpüşərsiniz	-	-	-	-
örtmək	ördürəm	ördürsən	ördür	ördürük	ördürsünüz	ördürlər	-	-	-	-	-	-	ördəcəyəm	ördəcəksən	ördəcək	ördəcəyik	ördəcəksiniz	ördəcəklər	ördərəm	ördərsən	ördər	ördərik	ördərsiniz	ördərlər	-	ördün	-
örtünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	örtünəcəyik	örtünəcəksiniz	-	-	-	-	örtünərik	örtünərsiniz	-	-	-	-
öskürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öskürəcəyik	öskürəcəksiniz	-	-	-	-	öskürərik	öskürərsiniz	-	-	-	-
öskürtmək	öskürdürəm	öskürdürsən	öskürdür	öskürdürük	öskürdürsünüz	öskürdürlər	-	-	-	-	-	-	öskürdəcəyəm	öskürdəcəksən	öskürdəcək	öskürdəcəyik	öskürdəcəksiniz	öskürdəcəklər	öskürdərəm	öskürdərsən	öskürdər	öskürdərik	öskürdərsiniz	öskürdərlər	-	öskürdün	-
ötmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ötəcəyik	ötəcəksiniz	-	-	-	-	ötərik	ötərsiniz	-	-	-	-
ötürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ötürəcəyik	ötürəcəksiniz	-	-	-	-	ötürərik	ötürərsiniz	-	-	-	-
ötüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ötüşəcəyik	ötüşəcəksiniz	-	-	-	-	ötüşərik	ötüşərsiniz	-	-	-	-
öymək	öyirəm	öyirsən	öyir	öyirik	öyirsiniz	öyirlər	öydim	öydin	öydi	öydik	öydiniz	öydilər	-	-	-	öyəcəyik	öyəcəksiniz	-	-	-	-	öyərik	öyərsiniz	-	-	öyin	-
öyrətmək	öyrədirəm	öyrədirsən	öyrədir	öyrədirik	öyrədirsiniz	öyrədirlər	-	-	-	-	-	-	öyrədəcəyəm	öyrədəcəksən	öyrədəcək	öyrədəcəyik	öyrədəcəksiniz	öyrədəcəklər	öyrədərəm	öyrədərsən	öyrədər	öyrədərik	öyrədərsiniz	öyrədərlər	-	öyrədin	-
öyümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öyüyəcəyik	öyüyəcəksiniz	-	-	-	-	öyüyərik	öyüyərsiniz	-	-	-	-
öyünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	öyünəcəyik	öyünəcəksiniz	-	-	-	-	öyünərik	öyünərsiniz	-	-	-	-
üfürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	üfürəcəyik	üfürəcəksiniz	-	-	-	-	üfürərik	üfürərsiniz	-	-	-	-
üstələmək	üstələyıram	üstələyırsan	üstələyır	üstələyırıq	üstələyırsınız	üstələyırlar	üstələdım	üstələdın	üstələdı	üstələdıq	üstələdınız	üstələdılar	üstələyacağam	üstələyacaqsan	üstələyacaq	üstələyacağıq	üstələyacaqsınız	üstələyacaqlar	üstələyaram	üstələyarsan	üstələyar	üstələyarıq	üstələyarsınız	üstələyarlar	-	üstələsınlar	üstələmaq
ütmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ütəcəyik	ütəcəksiniz	-	-	-	-	ütərik	ütərsiniz	-	-	-	-
üyütmək	üyüdürəm	üyüdürsən	üyüdür	üyüdürük	üyüdürsünüz	üyüdürlər	-	-	-	-	-	-	üyüdəcəyəm	üyüdəcəksən	üyüdəcək	üyüdəcəyik	üyüdəcəksiniz	üyüdəcəklər	üyüdərəm	üyüdərsən	üyüdər	üyüdərik	üyüdərsiniz	üyüdərlər	-	üyüdün	-
üyüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	üyüşəcəyik	üyüşəcəksiniz	-	-	-	-	üyüşərik	üyüşərsiniz	-	-	-	-
üzmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	üzəcəyik	üzəcəksiniz	-	-	-	-	üzərik	üzərsiniz	-	-	-	-
üşümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	üşüyəcəyik	üşüyəcəksiniz	-	-	-	-	üşüyərik	üşüyərsiniz	-	-	-	-
üşütmək	üşüdirəm	üşüdirsən	üşüdir	üşüdirik	üşüdirsiniz	üşüdirlər	üşütdim	üşütdin	üşütdi	üşütdik	üşütdiniz	üşütdilər	üşüdəcəyəm	üşüdəcəksən	üşüdəcək	üşüdəcəyik	üşüdəcəksiniz	üşüdəcəklər	üşüdərəm	üşüdərsən	üşüdər	üşüdərik	üşüdərsiniz	üşüdərlər	-	üşüdin	-
şişirtmək	şişirdirəm	şişirdirsən	şişirdir	şişirdirik	şişirdirsiniz	şişirdirlər	-	-	-	-	-	-	şişirdəcəyəm	şişirdəcəksən	şişirdəcək	şişirdəcəyik	şişirdəcəksiniz	şişirdəcəklər	şişirdərəm	şişirdərsən	şişirdər	şişirdərik	şişirdərsiniz	şişirdərlər	-	şişirdin	-
ələmək	ələyıram	ələyırsan	ələyır	ələyırıq	ələyırsınız	ələyırlar	ələdım	ələdın	ələdı	ələdıq	ələdınız	ələdılar	ələyacağam	ələyacaqsan	ələyacaq	ələyacağıq	ələyacaqsınız	ələyacaqlar	ələyaram	ələyarsan	ələyar	ələyarıq	ələyarsınız	ələyarlar	-	ələsınlar	ələmaq
əritmək	əridirəm	əridirsən	əridir	əridirik	əridirsiniz	əridirlər	-	-	-	-	-	-	əridəcəyəm	əridəcəksən	əridəcək	əridəcəyik	əridəcəksiniz	əridəcəklər	əridərəm	əridərsən	əridər	əridərik	əridərsiniz	əridərlər	-	əridin	-
