# Tamil verb stems, mined from the kaikki ∩ ThamizhiMorph agreement.
# Tamil conjugation class is lexical, so the stems are stored and the
# engine (src/tam.rs) only stacks the PNG endings.
# Regenerate: python3 scripts/tam/mine_verbs.py
#
# present is the கிற் stem, past the past stem, future the வ்/ப் stem;
# um is the -உம் form, inf the infinitive, imp_pl the plural imperative.
# A `-` cell falls through to the productive weak rule.
# lemma	present	past	future	um	inf	imp_pl
அகப்படு	அகப்படுகிற்	அகப்பட்ட்	அகப்படுவ்	அகப்படும்	அகப்பட	அகப்படுங்கள்
தங்கு	தங்குகிற்	தங்கின்	தங்குவ்	தங்கும்	தங்க	தங்குங்கள்
தடவு	தடவுகிற்	தடவின்	தடவுவ்	தடவும்	தடவ	தடவுங்கள்
தடி	தடிகிற்	தடித்த்	தடிப்ப்	தடியும்	தடிக்க	தடியுங்கள்
தடு	தடுக்கிற்	தடுத்த்	தடுப்ப்	தடுக்கும்	தடுக்க	தடுங்கள்
தடுமாறு	தடுமாறுகிற்	தடுமாறின்	தடுமாறுவ்	தடுமாறும்	தடுமாற	தடுமாறுங்கள்
தடை	தடைக்கிற்	தடைத்த்	தடைப்ப்	தடையும்	தடைக்க	தடையுங்கள்
தட்டு	தட்டுகிற்	தட்டின்	தட்டுவ்	தட்டும்	தட்ட	தட்டுங்கள்
தணி	தணிகிற்	தணித்த்	தணிப்ப்	தணியும்	தணிக்க	தணியுங்கள்
தண்டி	தண்டிக்கிற்	தண்டித்த்	தண்டிப்ப்	தண்டிக்கும்	தண்டிக்க	தண்டியுங்கள்
தண்டு	தண்டுகிற்	தண்டின்	தண்டுவ்	தண்டும்	தண்ட	தண்டுங்கள்
தத்தளி	தத்தளிக்கிற்	தத்தளித்த்	தத்தளிப்ப்	தத்தளிக்கும்	தத்தளிக்க	தத்தளியுங்கள்
தத்து	தத்துகிற்	தத்தின்	தத்துவ்	தத்தும்	தத்த	தத்துங்கள்
தனி	தனிக்கிற்	தனித்த்	தனிப்ப்	தனிக்கும்	தனிக்க	தனியுங்கள்
தப்பி	தப்பிக்கிற்	தப்பித்த்	தப்பிப்ப்	தப்பிக்கும்	தப்பிக்க	தப்பியுங்கள்
தப்பு	தப்புகிற்	தப்பின்	தப்புவ்	தப்பும்	தப்ப	தப்புங்கள்
தம்பி	தம்பிக்கிற்	தம்பித்த்	தம்பிப்ப்	தம்பிக்கும்	தம்பிக்க	தம்பியுங்கள்
தயங்கு	தயங்குகிற்	தயங்கின்	தயங்குவ்	தயங்கும்	தயங்க	தயங்குங்கள்
தறி	தறிகிற்	தறித்த்	தறிப்ப்	தறியும்	தறிக்க	தறியுங்கள்
தலை	தலைகிற்	தலைந்த்	தலைவ்	தலையும்	தலைய	தலையுங்கள்
தளிர்	தளிர்க்கிற்	தளிர்த்த்	தளிர்ப்ப்	தளிர்க்கும்	தளிர்க்க	தளிருங்கள்
தளும்பு	தளும்புகிற்	தளும்பின்	தளும்புவ்	தளும்பும்	தளும்ப	தளும்புங்கள்
தள்	தட்கிற்	தட்ட்	தட்ப்	தட்கும்	தட்க	தள்ளுங்கள்
தள்ளு	தள்ளுகிற்	தள்ளின்	தள்ளுவ்	தள்ளும்	தள்ள	தள்ளுங்கள்
தழை	தழைகிற்	தழைத்த்	தழைப்ப்	தழையும்	தழைக்க	தழையுங்கள்
தவறு	தவறுகிற்	தவறின்	தவறுவ்	தவறும்	தவற	தவறுங்கள்
தவழ்	தவழ்கிற்	தவழ்ந்த்	தவழ்வ்	தவழும்	தவழ	தவழுங்கள்
தவி	தவிக்கிற்	தவித்த்	தவிப்ப்	தவிக்கும்	தவிக்க	தவியுங்கள்
தவிர்	தவிர்கிற்	தவிர்த்த்	தவிர்ப்ப்	தவிரும்	தவிர்க்க	தவிருங்கள்
தா	தருகிற்	தந்த்	தருவ்	தரும்	தர	தாருங்கள்
தாக்கு	தாக்குகிற்	தாக்கின்	தாக்குவ்	தாக்கும்	தாக்க	தாக்குங்கள்
தாங்கு	தாங்குகிற்	தாங்கின்	தாங்குவ்	தாங்கும்	தாங்க	தாங்குங்கள்
தாண்டு	தாண்டுகிற்	தாண்டின்	தாண்டுவ்	தாண்டும்	தாண்ட	தாண்டுங்கள்
தாமசி	தாமசிக்கிற்	தாமசித்த்	தாமசிப்ப்	தாமசிக்கும்	தாமசிக்க	தாமசியுங்கள்
தாமதி	தாமதிக்கிற்	தாமதித்த்	தாமதிப்ப்	தாமதிக்கும்	தாமதிக்க	தாமதியுங்கள்
தாளி	தாளிக்கிற்	தாளித்த்	தாளிப்ப்	தாளிக்கும்	தாளிக்க	தாளியுங்கள்
தாழ்	தாழ்கிற்	தாழ்த்த்	தாழ்ப்ப்	தாழும்	தாழ	தாழுங்கள்
தாழ்த்து	தாழ்த்துகிற்	தாழ்த்தின்	தாழ்த்துவ்	தாழ்த்தும்	தாழ்த்த	தாழ்த்துங்கள்
தாவு	தாவுகிற்	தாவின்	தாவுவ்	தாவும்	தாவ	தாவுங்கள்
திகழ்	திகழ்கிற்	திகழ்ந்த்	திகழ்வ்	திகழும்	திகழ	திகழுங்கள்
திகை	திகைகிற்	திகைத்த்	திகைப்ப்	திகையும்	திகைக்க	திகையுங்கள்
திக்கு	திக்குகிற்	திக்கின்	திக்குவ்	திக்கும்	திக்க	திக்குங்கள்
திட்டு	திட்டுகிற்	திட்டின்	திட்டுவ்	திட்டும்	திட்ட	திட்டுங்கள்
திணி	திணிக்கிற்	திணித்த்	திணிப்ப்	திணிக்கும்	திணிக்க	திணியுங்கள்
திண்டாடு	திண்டாடுகிற்	திண்டாடின்	திண்டாடுவ்	திண்டாடும்	திண்டாட	திண்டாடுங்கள்
தித்தி	தித்திக்கிற்	தித்தித்த்	தித்திப்ப்	தித்திக்கும்	தித்திக்க	தித்தியுங்கள்
தின்	தின்கிற்	தின்ற்	தின்ப்	தின்னும்	தின்ன	தின்னுங்கள்
தியானி	தியானிக்கிற்	தியானித்த்	தியானிப்ப்	தியானிக்கும்	தியானிக்க	தியானியுங்கள்
திரள்	திரள்கிற்	திரண்ட்	திரள்வ்	திரளும்	திரள	திரளுங்கள்
திரி	திரிகிற்	திரித்த்	திரிப்ப்	திரியும்	திரிக்க	திரியுங்கள்
திருகு	திருகுகிற்	திருகின்	திருகுவ்	திருகும்	திருக	திருகுங்கள்
திருத்து	திருத்துகிற்	திருத்தின்	திருத்துவ்	திருத்தும்	திருத்த	திருத்துங்கள்
திருந்து	திருந்துகிற்	திருந்தின்	திருந்துவ்	திருந்தும்	திருந்த	திருந்துங்கள்
திருப்பு	திருப்புகிற்	திருப்பின்	திருப்புவ்	திருப்பும்	திருப்ப	திருப்புங்கள்
திரை	திரைகிற்	திரைத்த்	திரைப்ப்	திரையும்	திரைக்க	திரையுங்கள்
திற	திறக்கிற்	திறந்த்	திறப்ப்	திறக்கும்	திறக்க	திறவுங்கள்
தீ	தீகிற்	தீத்த்	தீப்ப்	தீக்கும்	தீக்க	தீயுங்கள்
தீட்டு	தீட்டுகிற்	தீட்டின்	தீட்டுவ்	தீட்டும்	தீட்ட	தீட்டுங்கள்
தீண்டு	தீண்டுகிற்	தீண்டின்	தீண்டுவ்	தீண்டும்	தீண்ட	தீண்டுங்கள்
தீய்	தீய்கிற்	தீய்த்த்	தீய்ப்ப்	தீயும்	தீய்க்க	தீயுங்கள்
தீவிரி	தீவிரிக்கிற்	தீவிரித்த்	தீவிரிப்ப்	தீவிரிக்கும்	தீவிரிக்க	தீவிரியுங்கள்
துக்கி	துக்கிக்கிற்	துக்கித்த்	துக்கிப்ப்	துக்கிக்கும்	துக்கிக்க	துக்கியுங்கள்
துஞ்சு	துஞ்சுகிற்	துஞ்சின்	துஞ்சுவ்	துஞ்சும்	துஞ்ச	துஞ்சுங்கள்
துடி	துடிக்கிற்	துடித்த்	துடிப்ப்	துடிக்கும்	துடிக்க	துடியுங்கள்
துடை	துடைக்கிற்	துடைத்த்	துடைப்ப்	துடைக்கும்	துடைக்க	துடையுங்கள்
துணி	துணிகிற்	துணித்த்	துணிப்ப்	துணியும்	துணிக்க	துணியுங்கள்
துணை	துணைகிற்	துணைத்த்	துணைப்ப்	துணையும்	துணைக்க	துணையுங்கள்
துண்டி	துண்டிக்கிற்	துண்டித்த்	துண்டிப்ப்	துண்டிக்கும்	துண்டிக்க	துண்டியுங்கள்
துதி	துதிக்கிற்	துதித்த்	துதிப்ப்	துதிக்கும்	துதிக்க	துதியுங்கள்
துப்பு	துப்புகிற்	துப்பின்	துப்புவ்	துப்பும்	துப்ப	துப்புங்கள்
தும்பு	தும்புகிற்	தும்பின்	தும்புவ்	தும்பும்	தும்ப	தும்புங்கள்
தும்மு	தும்முகிற்	தும்மின்	தும்முவ்	தும்மும்	தும்ம	தும்முங்கள்
துயில்	துயில்கிற்	துயின்ற்	துயில்வ்	துயிலும்	துயில	துயிலுங்கள்
துய்	துய்கிற்	துய்ந்த்	துய்வ்	துய்யும்	துய்ய	துய்யுங்கள்
துரத்து	துரத்துகிற்	துரத்தின்	துரத்துவ்	துரத்தும்	துரத்த	துரத்துங்கள்
துருவு	துருவுகிற்	துருவின்	துருவுவ்	துருவும்	துருவ	துருவுங்கள்
துற	துறக்கிற்	துறந்த்	துறப்ப்	துறக்கும்	துறக்க	துறவுங்கள்
துலக்கு	துலக்குகிற்	துலக்கின்	துலக்குவ்	துலக்கும்	துலக்க	துலக்குங்கள்
துளி	துளிக்கிற்	துளித்த்	துளிப்ப்	துளிக்கும்	துளிக்க	துளியுங்கள்
துளை	துளைகிற்	துளைத்த்	துளைப்ப்	துளையும்	துளைக்க	துளையுங்கள்
துள்ளு	துள்ளுகிற்	துள்ளின்	துள்ளுவ்	துள்ளும்	துள்ள	துள்ளுங்கள்
துழாவு	துழாவுகிற்	துழாவின்	துழாவுவ்	துழாவும்	துழாவ	துழாவுங்கள்
துவங்கு	துவங்குகிற்	துவங்கின்	துவங்குவ்	துவங்கும்	துவங்க	துவங்குங்கள்
துவை	துவைகிற்	துவைத்த்	துவைப்ப்	துவையும்	துவைக்க	துவையுங்கள்
தூர்	தூர்க்கிற்	தூர்த்த்	தூர்ப்ப்	தூரும்	தூர்க்க	தூருங்கள்
தெரி	தெரிகிற்	தெரித்த்	தெரிப்ப்	தெரியும்	தெரிக்க	தெரியுங்கள்
தெரிவி	தெரிவிக்கிற்	தெரிவித்த்	தெரிவிப்ப்	தெரிவிக்கும்	தெரிவிக்க	தெரிவியுங்கள்
தெருள்	தெருள்கிற்	தெருண்ட்	தெருள்வ்	தெருளும்	தெருள	தெருளுங்கள்
தெளி	தெளிகிற்	தெளித்த்	தெளிப்ப்	தெளியும்	தெளிக்க	தெளியுங்கள்
தேக்கு	தேக்குகிற்	தேக்கின்	தேக்குவ்	தேக்கும்	தேக்க	தேக்குங்கள்
தேடு	தேடுகிற்	தேடின்	தேடுவ்	தேடும்	தேட	தேடுங்கள்
தேம்பு	தேம்புகிற்	தேம்பின்	தேம்புவ்	தேம்பும்	தேம்ப	தேம்புங்கள்
தேய்	தேய்கிற்	தேய்த்த்	தேய்ப்ப்	தேயும்	தேய்க்க	தேயுங்கள்
தேர்	தேர்கிற்	தேர்த்த்	தேர்ப்ப்	தேரும்	தேர்க்க	தேருங்கள்
தேறு	தேறுகிற்	தேறின்	தேறுவ்	தேறும்	தேற	தேறுங்கள்
தேற்று	தேற்றுகிற்	தேற்றின்	தேற்றுவ்	தேற்றும்	தேற்ற	தேற்றுங்கள்
தை	தைக்கிற்	தைத்த்	தைப்ப்	தைக்கும்	தைக்க	தையுங்கள்
தொங்கு	தொங்குகிற்	தொங்கின்	தொங்குவ்	தொங்கும்	தொங்க	தொங்குங்கள்
தொடங்கு	தொடங்குகிற்	தொடங்கின்	தொடங்குவ்	தொடங்கும்	தொடங்க	தொடங்குங்கள்
தொடர்	தொடர்கிற்	தொடர்ந்த்	தொடர்வ்	தொடரும்	தொடர	தொடருங்கள்
தொடு	தொடுகிற்	தொட்ட்	தொடுவ்	தொடும்	தொட	தொடுங்கள்
தொற்று	தொற்றுகிற்	தொற்றின்	தொற்றுவ்	தொற்றும்	தொற்ற	தொற்றுங்கள்
தொலை	தொலைகிற்	தொலைந்த்	தொலைவ்	தொலையும்	தொலைய	தொலையுங்கள்
தொழு	தொழுகிற்	தொழுத்	தொழுவ்	தொழும்	தொழ	தொழுங்கள்
தோண்டு	தோண்டுகிற்	தோண்டின்	தோண்டுவ்	தோண்டும்	தோண்ட	தோண்டுங்கள்
தோன்று	தோன்றுகிற்	தோன்றின்	தோன்றுவ்	தோன்றும்	தோன்ற	தோன்றுங்கள்
தோற்று	தோற்றுகிற்	தோற்றின்	தோற்றுவ்	தோற்றும்	தோற்ற	தோற்றுங்கள்
தோல்	தோற்கிற்	தோற்ற்	தோற்ப்	தோற்கும்	தோற்க	தோலுங்கள்
நகர்	நகர்கிற்	நகர்ந்த்	நகர்வ்	நகரும்	நகர	நகருங்கள்
நகர்த்து	நகர்த்துகிற்	நகர்த்தின்	நகர்த்துவ்	நகர்த்தும்	நகர்த்த	நகர்த்துங்கள்
நகு	நகுகிற்	நக்க்	நகுவ்	நகும்	நக	நகுங்கள்
நகை	நகைக்கிற்	நகைத்த்	நகைப்ப்	நகைக்கும்	நகைக்க	நகையுங்கள்
நக்கு	நக்குகிற்	நக்கின்	நக்குவ்	நக்கும்	நக்க	நக்குங்கள்
நசி	நசிகிற்	நசிந்த்	நசிவ்	நசியும்	நசிய	நசியுங்கள்
நசுக்கு	நசுக்குகிற்	நசுக்கின்	நசுக்குவ்	நசுக்கும்	நசுக்க	நசுக்குங்கள்
நசுங்கு	நசுங்குகிற்	நசுங்கின்	நசுங்குவ்	நசுங்கும்	நசுங்க	நசுங்குங்கள்
நச்சு	நச்சுகிற்	நச்சின்	நச்சுவ்	நச்சும்	நச்ச	நச்சுங்கள்
நட	நடக்கிற்	நடந்த்	நடப்ப்	நடக்கும்	நடக்க	நடவுங்கள்
நடத்து	நடத்துகிற்	நடத்தின்	நடத்துவ்	நடத்தும்	நடத்த	நடத்துங்கள்
நடவு	நடவுகிற்	நடவின்	நடவுவ்	நடவும்	நடவ	நடவுங்கள்
நடு	நடுகிற்	நட்ட்	நடுவ்	நடும்	நட	நடுங்கள்
நடுங்கு	நடுங்குகிற்	நடுங்கின்	நடுங்குவ்	நடுங்கும்	நடுங்க	நடுங்குங்கள்
நனை	நனைகிற்	நனைத்த்	நனைப்ப்	நனையும்	நனைக்க	நனையுங்கள்
நம்பு	நம்புகிற்	நம்பின்	நம்புவ்	நம்பும்	நம்ப	நம்புங்கள்
நரை	நரைக்கிற்	நரைத்த்	நரைப்ப்	நரைக்கும்	நரைக்க	நரையுங்கள்
நறுக்கு	நறுக்குகிற்	நறுக்கின்	நறுக்குவ்	நறுக்கும்	நறுக்க	நறுக்குங்கள்
நலி	நலிகிற்	நலித்த்	நலிப்ப்	நலியும்	நலிக்க	நலியுங்கள்
நல்கு	நல்குகிற்	நல்கின்	நல்குவ்	நல்கும்	நல்க	நல்குங்கள்
நவில்	நவில்கிற்	நவின்ற்	நவில்வ்	நவிலும்	நவில	நவிலுங்கள்
நாடு	நாடுகிற்	நாடின்	நாடுவ்	நாடும்	நாட	நாடுங்கள்
நாட்டு	நாட்டுகிற்	நாட்டின்	நாட்டுவ்	நாட்டும்	நாட்ட	நாட்டுங்கள்
நாறு	நாறுகிற்	நாறின்	நாறுவ்	நாறும்	நாற	நாறுங்கள்
நாற்று	நாற்றுகிற்	நாற்றின்	நாற்றுவ்	நாற்றும்	நாற்ற	நாற்றுங்கள்
நால்	நால்கிற்	நான்ற்	நால்வ்	நாலும்	நால	நாலுங்கள்
நாவு	நாவுகிற்	நாவின்	நாவுவ்	நாவும்	நாவ	நாவுங்கள்
நிகர்	நிகர்கிற்	நிகர்ந்த்	நிகர்வ்	நிகரும்	நிகர்க்க	நிகருங்கள்
நிகழ்	நிகழ்கிற்	நிகழ்ந்த்	நிகழ்வ்	நிகழும்	நிகழ	நிகழுங்கள்
நிச்சயி	நிச்சயிக்கிற்	நிச்சயித்த்	நிச்சயிப்ப்	நிச்சயிக்கும்	நிச்சயிக்க	நிச்சயியுங்கள்
நினை	நினைக்கிற்	நினைத்த்	நினைப்ப்	நினைக்கும்	நினைக்க	நினையுங்கள்
நிமிர்	நிமிர்கிற்	நிமிர்ந்த்	நிமிர்வ்	நிமிரும்	நிமிர்க்க	நிமிருங்கள்
நிரப்பு	நிரப்புகிற்	நிரப்பின்	நிரப்புவ்	நிரப்பும்	நிரப்ப	நிரப்புங்கள்
நிரம்பு	நிரம்புகிற்	நிரம்பின்	நிரம்புவ்	நிரம்பும்	நிரம்ப	நிரம்புங்கள்
நிரூபி	நிரூபிக்கிற்	நிரூபித்த்	நிரூபிப்ப்	நிரூபிக்கும்	நிரூபிக்க	நிரூபியுங்கள்
நிரை	நிரைகிற்	நிரைத்த்	நிரைப்ப்	நிரையும்	நிரைக்க	நிரையுங்கள்
நிற	நிறக்கிற்	நிறத்த்	நிறப்ப்	நிறக்கும்	நிறக்க	நிறவுங்கள்
நிறுத்து	நிறுத்துகிற்	நிறுத்தின்	நிறுத்துவ்	நிறுத்தும்	நிறுத்த	நிறுத்துங்கள்
நிறுவு	நிறுவுகிற்	நிறுவின்	நிறுவுவ்	நிறுவும்	நிறுவ	நிறுவுங்கள்
நிறை	நிறைகிற்	நிறைத்த்	நிறைப்ப்	நிறையும்	நிறைக்க	நிறையுங்கள்
நிறைவேற்று	நிறைவேற்றுகிற்	நிறைவேற்றின்	நிறைவேற்றுவ்	நிறைவேற்றும்	நிறைவேற்ற	நிறைவேற்றுங்கள்
நிற்பாட்டு	நிற்பாட்டுகிற்	நிற்பாட்டின்	நிற்பாட்டுவ்	நிற்பாட்டும்	நிற்பாட்ட	நிற்பாட்டுங்கள்
நிலவு	நிலவுகிற்	நிலவின்	நிலவுவ்	நிலவும்	நிலவ	நிலவுங்கள்
நிழல்	நிழற்கிற்	நிழற்ற்	நிழற்ப்	நிழற்கும்	நிழற்க	நிழல்லுங்கள்
நீ	நீக்கிற்	நீத்த்	நீப்ப்	நீக்கும்	நீக்க	நீயுங்கள்
நீக்கு	நீக்குகிற்	நீக்கின்	நீக்குவ்	நீக்கும்	நீக்க	நீக்குங்கள்
நீங்கு	நீங்குகிற்	நீங்கின்	நீங்குவ்	நீங்கும்	நீங்க	நீங்குங்கள்
நீடி	நீடிக்கிற்	நீடித்த்	நீடிப்ப்	நீடிக்கும்	நீடிக்க	நீடியுங்கள்
நீடு	நீடுகிற்	நீடின்	நீடுவ்	நீடும்	நீட	நீடுங்கள்
நீட்டி	நீட்டிக்கிற்	நீட்டித்த்	நீட்டிப்ப்	நீட்டிக்கும்	நீட்டிக்க	நீட்டியுங்கள்
நீட்டு	நீட்டுகிற்	நீட்டின்	நீட்டுவ்	நீட்டும்	நீட்ட	நீட்டுங்கள்
நீந்து	நீந்துகிற்	நீந்தின்	நீந்துவ்	நீந்தும்	நீந்த	நீந்துங்கள்
நீர்	நீர்க்கிற்	நீர்த்த்	நீர்ப்ப்	நீர்க்கும்	நீர்க்க	நீருங்கள்
நீள்	நீள்கிற்	நீண்ட்	நீள்வ்	நீளும்	நீள	நீளுங்கள்
நீவு	நீவுகிற்	நீவின்	நீவுவ்	நீவும்	நீவ	நீவுங்கள்
நுகர்	நுகர்கிற்	நுகர்ந்த்	நுகர்வ்	நுகரும்	நுகர	நுகருங்கள்
நுங்கு	நுங்குகிற்	நுங்கின்	நுங்குவ்	நுங்கும்	நுங்க	நுங்குங்கள்
நுடக்கு	நுடக்குகிற்	நுடக்கின்	நுடக்குவ்	நுடக்கும்	நுடக்க	நுடக்குங்கள்
நுணுக்கு	நுணுக்குகிற்	நுணுக்கின்	நுணுக்குவ்	நுணுக்கும்	நுணுக்க	நுணுக்குங்கள்
நுரை	நுரைக்கிற்	நுரைத்த்	நுரைப்ப்	நுரைக்கும்	நுரைக்க	நுரையுங்கள்
நுழை	நுழைகிற்	நுழைத்த்	நுழைப்ப்	நுழையும்	நுழைக்க	நுழையுங்கள்
நூல்	நூற்கிற்	நூற்ற்	நூற்ப்	நூற்கும்	நூற்க	நூலுங்கள்
நெடு	நெடுக்கிற்	நெடுத்த்	நெடுப்ப்	நெடுக்கும்	நெடுக்க	நெடுங்கள்
நெய்	நெய்க்கிற்	நெய்த்த்	நெய்ப்ப்	நெய்க்கும்	நெய்க்க	நெயுங்கள்
நெரி	நெரிகிற்	நெரித்த்	நெரிப்ப்	நெரியும்	நெரிக்க	நெரியுங்கள்
நெருக்கு	நெருக்குகிற்	நெருக்கின்	நெருக்குவ்	நெருக்கும்	நெருக்க	நெருக்குங்கள்
நெருங்கு	நெருங்குகிற்	நெருங்கின்	நெருங்குவ்	நெருங்கும்	நெருங்க	நெருங்குங்கள்
நேர்	நேர்கிற்	நேர்ந்த்	நேர்வ்	நேரும்	நேர	நேருங்கள்
நொடி	நொடிகிற்	நொடிந்த்	நொடிவ்	நொடியும்	நொடிய	நொடியுங்கள்
நொண்டு	நொண்டுகிற்	நொண்டின்	நொண்டுவ்	நொண்டும்	நொண்ட	நொண்டுங்கள்
நொருக்கு	நொருக்குகிற்	நொருக்கின்	நொருக்குவ்	நொருக்கும்	நொருக்க	நொருக்குங்கள்
நொருங்கு	நொருங்குகிற்	நொருங்கின்	நொருங்குவ்	நொருங்கும்	நொருங்க	நொருங்குங்கள்
நொறுக்கு	நொறுக்குகிற்	நொறுக்கின்	நொறுக்குவ்	நொறுக்கும்	நொறுக்க	நொறுக்குங்கள்
நொறுங்கு	நொறுங்குகிற்	நொறுங்கின்	நொறுங்குவ்	நொறுங்கும்	நொறுங்க	நொறுங்குங்கள்
நோக்கு	நோக்குகிற்	நோக்கின்	நோக்குவ்	நோக்கும்	நோக்க	நோக்குங்கள்
நோண்டு	நோண்டுகிற்	நோண்டின்	நோண்டுவ்	நோண்டும்	நோண்ட	நோண்டுங்கள்
பகர்	பகர்கிற்	பகர்ந்த்	பகர்வ்	பகரும்	பகர	பகருங்கள்
பகிர்	பகிர்கிற்	பகிர்ந்த்	பகிர்வ்	பகிரும்	பகிர	பகிருங்கள்
பகு	பகுகிற்	பகுத்த்	பகுப்ப்	பகுக்கும்	பகுக்க	பகுங்கள்
பசி	பசிக்கிற்	பசித்த்	பசிப்ப்	பசிக்கும்	பசிக்க	பசியுங்கள்
பசு	பசுக்கிற்	பசுத்த்	பசுப்ப்	பசுக்கும்	பசுக்க	பசுங்கள்
பஞ்சு	பஞ்சுகிற்	பஞ்சின்	பஞ்சுவ்	பஞ்சும்	பஞ்ச	பஞ்சுங்கள்
படி	படிகிற்	படித்த்	படிப்ப்	படியும்	படிக்க	படியுங்கள்
படு	படுகிற்	படுத்த்	படுப்ப்	படுக்கும்	பட	படுங்கள்
படை	படைக்கிற்	படைத்த்	படைப்ப்	படைக்கும்	படைக்க	படையுங்கள்
பட்சி	பட்சிக்கிற்	பட்சித்த்	பட்சிப்ப்	பட்சிக்கும்	பட்சிக்க	பட்சியுங்கள்
பண்ணு	பண்ணுகிற்	பண்ணின்	பண்ணுவ்	பண்ணும்	பண்ண	பண்ணுங்கள்
பதறு	பதறுகிற்	பதறின்	பதறுவ்	பதறும்	பதற	பதறுங்கள்
பதி	பதிகிற்	பதித்த்	பதிப்ப்	பதியும்	பதிக்க	பதியுங்கள்
பதுக்கு	பதுக்குகிற்	பதுக்கின்	பதுக்குவ்	பதுக்கும்	பதுக்க	பதுக்குங்கள்
பதுங்கு	பதுங்குகிற்	பதுங்கின்	பதுங்குவ்	பதுங்கும்	பதுங்க	பதுங்குங்கள்
பந்தி	பந்திக்கிற்	பந்தித்த்	பந்திப்ப்	பந்திக்கும்	பந்திக்க	பந்தியுங்கள்
பனி	பனிக்கிற்	பனித்த்	பனிப்ப்	பனிக்கும்	பனிக்க	பனியுங்கள்
பய	பயக்கிற்	பயந்த்	பயப்ப்	பயக்கும்	பயக்க	பயவுங்கள்
பயிற்று	பயிற்றுகிற்	பயிற்றின்	பயிற்றுவ்	பயிற்றும்	பயிற்ற	பயிற்றுங்கள்
பயில்	பயில்கிற்	பயின்ற்	பயில்வ்	பயிலும்	பயில	பயிலுங்கள்
பர	பரக்கிற்	பரந்த்	பரப்ப்	பரக்கும்	பரக்க	பரவுங்கள்
பரபர	பரபரக்கிற்	பரபரத்த்	பரபரப்ப்	பரபரக்கும்	பரபரக்க	பரபரவுங்கள்
பரப்பு	பரப்புகிற்	பரப்பின்	பரப்புவ்	பரப்பும்	பரப்ப	பரப்புங்கள்
பரவு	பரவுகிற்	பரவின்	பரவுவ்	பரவும்	பரவ	பரவுங்கள்
பராமரி	பராமரிக்கிற்	பராமரித்த்	பராமரிப்ப்	பராமரிக்கும்	பராமரிக்க	பராமரியுங்கள்
பரி	பரிகிற்	பரித்த்	பரிப்ப்	பரியும்	பரிக்க	பரியுங்கள்
பரிமாறு	பரிமாறுகிற்	பரிமாறின்	பரிமாறுவ்	பரிமாறும்	பரிமாற	பரிமாறுங்கள்
பரு	பருக்கிற்	பருத்த்	பருப்ப்	பருக்கும்	பருக்க	பருங்கள்
பருகு	பருகுகிற்	பருகின்	பருகுவ்	பருகும்	பருக	பருகுங்கள்
பற	பறக்கிற்	பறந்த்	பறப்ப்	பறக்கும்	பறக்க	பறவுங்கள்
பறி	பறிகிற்	பறித்த்	பறிப்ப்	பறியும்	பறிக்க	பறியுங்கள்
பறை	பறைகிற்	பறைந்த்	பறைவ்	பறையும்	பறைய	பறையுங்கள்
பற்று	பற்றுகிற்	பற்றின்	பற்றுவ்	பற்றும்	பற்ற	பற்றுங்கள்
பல	பலக்கிற்	பலத்த்	பலப்ப்	பலக்கும்	பலக்க	பலவுங்கள்
பலி	பலிக்கிற்	பலித்த்	பலிப்ப்	பலிக்கும்	பலிக்க	பலியுங்கள்
பழகு	பழகுகிற்	பழகின்	பழகுவ்	பழகும்	பழக	பழகுங்கள்
பழி	பழிக்கிற்	பழித்த்	பழிப்ப்	பழிக்கும்	பழிக்க	பழியுங்கள்
பாடு	பாடுகிற்	பாடின்	பாடுவ்	பாடும்	பாட	பாடுங்கள்
பாதி	பாதிக்கிற்	பாதித்த்	பாதிப்ப்	பாதிக்கும்	பாதிக்க	பாதியுங்கள்
பாதுகா	பாதுகாக்கிற்	பாதுகாத்த்	பாதுகாப்ப்	பாதுகாக்கும்	பாதுகாக்க	பாதுகாவுங்கள்
பாய்	பாய்கிற்	பாய்ந்த்	பாய்வ்	பாயும்	பாய	பாயுங்கள்
பாராட்டு	பாராட்டுகிற்	பாராட்டின்	பாராட்டுவ்	பாராட்டும்	பாராட்ட	பாராட்டுங்கள்
பார்	பார்க்கிற்	பார்த்த்	பார்ப்ப்	பார்க்கும்	பார்க்க	பாருங்கள்
பிசகு	பிசகுகிற்	பிசகின்	பிசகுவ்	பிசகும்	பிசக	பிசகுங்கள்
பிசக்கு	பிசக்குகிற்	பிசக்கின்	பிசக்குவ்	பிசக்கும்	பிசக்க	பிசக்குங்கள்
பிசறு	பிசறுகிற்	பிசறின்	பிசறுவ்	பிசறும்	பிசற	பிசறுங்கள்
பிசுபிசு	பிசுபிசுக்கிற்	பிசுபிசுத்த்	பிசுபிசுப்ப்	பிசுபிசுக்கும்	பிசுபிசுக்க	பிசுபிசுங்கள்
பிடி	பிடிக்கிற்	பிடித்த்	பிடிப்ப்	பிடிக்கும்	பிடிக்க	பிடியுங்கள்
பிடுங்கு	பிடுங்குகிற்	பிடுங்கின்	பிடுங்குவ்	பிடுங்கும்	பிடுங்க	பிடுங்குங்கள்
பிட்கு	பிட்குகிற்	பிட்கின்	பிட்குவ்	பிட்கும்	பிட்க	பிட்குங்கள்
