# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;SG;MASC	V;PST;SG;FEM	V;PST;SG;NEUT	V;PST;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
узначаліць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	узначаль	узначальце
узяць	-	-	-	-	-	-	вазьму	возьмеш	возьме	возьмем	возьмеце	возьмуць	-	-	узяло	-	вазьмі	вазьміце
унікнуць	-	-	-	-	-	-	-	-	-	-	-	-	унік	унікла	унікла	уніклі	-	-
упасці	-	-	-	-	-	-	упаду	упадзеш	упадзе	упадзём	упадзяце	упадуць	упаў	упала	упала	упалі	упадзі	упадзіце
усвядоміць	-	-	-	-	-	-	усвядомлю	-	-	-	-	-	-	-	-	-	усвядомь	усвядомьце
усміхацца	усміхаюся	усміхаешся	усміхаецца	усміхаемся	усміхаецеся	усміхаюцца	-	-	-	-	-	-	усміхаўся	усміхалася	усміхалася	усміхаліся	усміхайся	усміхайцеся
усміхнуцца	-	-	-	-	-	-	усміхнуся	усміхнешся	усміхнецца	усміхнёмся	усміхняцеся	усміхнуцца	усміхнуўся	усміхнулася	усміхнулася	усміхнуліся	усміхніся	усміхніцеся
уставаць	устаю	устаеш	устае	устаём	устаяце	устаюць	-	-	-	-	-	-	-	-	-	-	уставай	уставайце
устаць	-	-	-	-	-	-	устану	устанеш	устане	устанем	устанеце	устануць	-	-	-	-	устань	устаньце
ухіляцца	ухіляюся	ухіляешся	ухіляецца	ухіляемся	ухіляецеся	ухіляюцца	-	-	-	-	-	-	ухіляўся	ухілялася	ухілялася	ухіляліся	ухіляйся	ухіляйцеся
ухіліцца	-	-	-	-	-	-	ухілюся	ухілішся	ухіліцца	ухілімся	ухіліцеся	ухіляцца	ухіліўся	ухілілася	ухілілася	ухіліліся	ухіліся	ухіліцеся
учуць	-	-	-	-	-	-	учую	учуеш	учуе	учуем	учуеце	учуюць	-	-	-	-	учуй	учуйце
уявіць	-	-	-	-	-	-	уяўлю	-	-	-	-	-	-	-	-	-	-	-
хавацца	хаваюся	хаваешся	хаваецца	хаваемся	хаваецеся	хаваюцца	-	-	-	-	-	-	хаваўся	хавалася	хавалася	хаваліся	хавайся	хавайцеся
хадзіць	хаджу	ходзіш	ходзіць	ходзім	ходзіце	ходзяць	-	-	-	-	-	-	-	-	-	-	-	-
хапіць	хаплю	хопіш	хопіць	хопім	хопіце	хопяць	-	-	-	-	-	-	-	-	-	-	-	-
хацець	хачу	хочаш	хоча	хочам	хочаце	хочуць	-	-	-	-	-	-	-	-	-	-	хаці	хаціце
хвалявацца	хвалююся	хвалюешся	хвалюецца	хвалюемся	хвалюецеся	хвалююцца	-	-	-	-	-	-	хваляваўся	хвалявалася	хвалявалася	хваляваліся	хвалюйся	хвалюйцеся
хварэць	хварэю	хварэеш	хварэе	хварэем	хварэеце	хварэюць	-	-	-	-	-	-	-	-	-	-	хварэй	хварэйце
цвісці	цвіту	цвіцеш	цвіце	цвіцём	цвіцяце	цвітуць	-	-	-	-	-	-	цвіў	цвіла	цвіло	цвілі	цвіці	цвіціце
церці	тру	трэш	трэ	тром	траце	труць	-	-	-	-	-	-	цёр	цёрла	цёрла	цёрлі	тры	трыце
цурацца	цураюся	цураешся	цураецца	цураемся	цураецеся	цураюцца	-	-	-	-	-	-	цураўся	цуралася	цуралася	цураліся	цурайся	цурайцеся
цягаць	-	-	-	-	-	-	-	-	-	-	-	-	цягай	-	-	-	-	-
цячы	цяку	цячэш	цячэ	цячом	цечаце	цякуць	-	-	-	-	-	-	цёк	цякла	цякло	цяклі	цячы	цячыце
чарціць	чарчу	чэрціш	чэрціць	чэрцім	чэрціце	чэрцяць	-	-	-	-	-	-	-	-	-	-	-	-
чуць	чую	чуеш	чуе	чуем	чуеце	чуюць	-	-	-	-	-	-	-	-	-	-	чуй	чуйце
чысціць	чышчу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
швэндацца	швэндаюся	швэндаешся	швэндаецца	швэндаемся	швэндаецеся	швэндаюцца	-	-	-	-	-	-	швэндаўся	швэндалася	швэндалася	швэндаліся	швэндайся	швэндайцеся
шумець	шумлю	шуміш	шуміць	шумім	шуміце	шумяць	-	-	-	-	-	-	-	-	-	-	шумі	шуміце
шыць	шыю	шыеш	шые	шыем	шыеце	шыюць	-	-	-	-	-	-	-	-	-	-	шый	шыйце
ябаць	ябу	ябеш	ябе	ябём	ебяце	ябуць	-	-	-	-	-	-	-	-	-	-	ябі	ябіце
ілгаць	ілгу	ілжэш	ілжэ	ілжом	ілжаце	ілгуць	-	-	-	-	-	-	-	-	-	-	ілжы	ілжыце
ірваць	ірву	ірвеш	ірве	ірвём	ірвяце	ірвуць	-	-	-	-	-	-	-	-	-	-	ірві	ірвіце
іржаць	іржу	іржэш	іржэ	іржом	іржаце	іржуць	-	-	-	-	-	-	-	-	-	-	іржы	іржыце
існаваць	-	-	-	існуём	існуяце	-	-	-	-	-	-	-	-	-	-	-	-	-
ісці	іду	ідзеш	ідзе	ідзём	ідзяце	ідуць	-	-	-	-	-	-	ішоў	ішла	ішло	ішлі	ідзі	ідзіце
ўдарыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ўдар	ўдарце
ўжыць	-	-	-	-	-	-	ўжыву	ўжывеш	ўжыве	ўжывём	ўжывяце	ўжывуць	-	-	ўжыло	-	ўжыві	ўжывіце
ўзяць	-	-	-	-	-	-	вазьму	возьмеш	возьме	возьмем	возьмеце	возьмуць	-	-	ўзяло	-	вазьмі	вазьміце
ўнікнуць	-	-	-	-	-	-	-	-	-	-	-	-	ўнік	ўнікла	ўнікла	ўніклі	-	-
ўставаць	ўстаю	ўстаеш	ўстае	ўстаём	ўстаяце	ўстаюць	-	-	-	-	-	-	-	-	-	-	ўставай	ўставайце
ўстаць	-	-	-	-	-	-	ўстану	ўстанеш	ўстане	ўстанем	ўстанеце	ўстануць	-	-	-	-	ўстань	ўстаньце
ўхіляцца	ўхіляюся	ўхіляешся	ўхіляецца	ўхіляемся	ўхіляецеся	ўхіляюцца	-	-	-	-	-	-	ўхіляўся	ўхілялася	ўхілялася	ўхіляліся	ўхіляйся	ўхіляйцеся
ўхіліцца	-	-	-	-	-	-	ўхілюся	ўхілішся	ўхіліцца	ўхілімся	ўхіліцеся	ўхіляцца	ўхіліўся	ўхілілася	ўхілілася	ўхіліліся	ўхіліся	ўхіліцеся
ўчуць	-	-	-	-	-	-	ўчую	ўчуеш	ўчуе	ўчуем	ўчуеце	ўчуюць	-	-	-	-	ўчуй	ўчуйце
