# Swedish principal parts, mined from the gold oracles.
# lemma <TAB> present <TAB> past <TAB> supine <TAB> imperative <TAB> subj-pres <TAB> subj-past ("-" = class-1 default)
K-märka	K-märker	K-märkte	K-märkt	K-märk	-	-
nyanlägga	nyanlägger	nyanla	nyanlagt	nyanlägg	-	-
nyanställa	nyanställer	nyanställde	nyanställt	nyanställ	-	-
nypa	nyper	nöp	nupit	nyp	-	-
nysa	nyser	nyste	nusit	nys	-	-
nyttiggöra	nyttiggör	nyttiggjorde	nyttiggjort	nyttiggör	-	-
nyvälja	nyväljer	nyvalde	nyvalt	nyvälj	-	-
nämna	nämner	nämnde	nämnt	nämn	-	-
nännas	nänns	nändes	nänts	-	-	-
näpsa	näpser	näpste	näpst	näps	-	-
nära	när	närde	närt	när	-	-
närsluta	närsluter	närslöt	närslutit	närslut	-	-
nå	-	nådde	nått	-	-	-
nåde	-	-	-	-	nåde	-
nödvändiggöra	nödvändiggör	nödvändiggjorde	nödvändiggjort	nödvändiggör	-	-
nöjas	nöjs	-	-	-	-	-
nöta	nöter	nötte	nött	nöt	-	-
odödliggöra	odödliggör	odödliggjorde	odödliggjort	odödliggör	-	-
offentliggöra	offentliggör	offentliggjorde	offentliggjort	offentliggör	-	-
okynnesanvända	okynnesanvänder	okynnesanvände	okynnesanvänt	okynnesanvänd	-	-
okynnesringa	okynnesringer	okynnesringde	okynnesringt	okynnesring	-	-
oljedränka	oljedränker	oljedränkte	oljedränkt	oljedränk	-	-
ombe	-	ombad	ombett	-	ombede	-
ombestyra	ombestyr	ombestyrde	ombestyrt	ombestyr	-	-
ombesörja	ombesörjer	ombesörjde	ombesörjt	ombesörj	-	-
ombetro	-	ombetrodde	ombetrott	-	-	-
ombryta	ombryter	ombröt	ombrutit	ombryt	-	-
omföra	omför	omförde	omfört	omför	-	-
omförmäla	omförmäler	omförmälde	omförmält	omförmäl	-	-
omge	-	omgav	omgett	-	omgive	-
omhänderha	-	-	omhänderhaft	-	-	-
omhänderta	-	omhändertog	omhändertagit	-	omhändertage	-
omhölja	omhöljer	omhöljde	omhöljt	omhölj	-	-
omintetgöra	omintetgör	omintetgjorde	omintetgjort	omintetgör	-	-
omklä	-	omklädde	omklätt	-	-	-
omkomma	omkommer	omkom	omkommit	omkom	-	-
omköra	omkör	omkörde	omkört	omkör	-	-
omnämna	omnämner	omnämnde	omnämnt	omnämn	-	-
omse	-	omsåg	omsett	-	-	-
omskriva	omskriver	omskrev	omskrivit	omskriv	-	-
omskära	omskär	omskar	omskurit	omskär	-	-
omsköta	omsköter	omskötte	omskött	omsköt	-	-
omsluta	omsluter	omslöt	omslutit	omslut	-	-
omspinna	omspinner	omspann	omspunnit	omspinn	-	-
omspänna	omspänner	omspände	omspänt	omspänn	-	-
omställa	omställer	omställde	omställt	omställ	-	-
omstöpa	omstöper	omstöpte	omstöpt	omstöp	-	-
omsvepa	omsveper	omsvepte	omsvept	omsvep	-	-
omsätta	omsätter	omsatte	omsatt	omsätt	-	-
omta	-	omtog	omtagit	-	omtage	-
omvälja	omväljer	omvalde	omvalt	omvälj	-	-
omvälva	omvälver	omvälvde	omvälvt	omvälv	-	-
omvända	omvänder	omvände	omvänt	omvänd	-	-
omvärva	omvärver	omvärvde	omvärvt	omvärv	-	-
omöjliggöra	omöjliggör	omöjliggjorde	omöjliggjort	omöjliggör	-	-
oppbära	oppbär	oppbar	oppburit	oppbär	-	-
oppdriva	oppdriver	oppdrev	oppdrivit	oppdriv	-	-
oppfinna	oppfinner	oppfann	oppfunnit	oppfinn	-	-
oppfylla	oppfyller	oppfyllde	oppfyllt	oppfyll	-	-
oppföda	oppföder	oppfödde	oppfött	oppföd	-	-
oppge	-	oppgav	oppgett	-	oppgive	-
opphäva	opphäver	opphov	opphävt	opphäv	-	-
opphöja	opphöjer	opphöjde	opphöjt	opphöj	-	-
opplägga	opplägger	oppla	opplagt	opplägg	-	-
oppläsa	oppläser	oppläste	oppläst	oppläs	-	-
oppskjuta	oppskjuter	oppsköt	oppskjutit	oppskjut	-	-
oppställa	oppställer	oppställde	oppställt	oppställ	-	-
oppsuga	oppsuger	oppsög	oppsugit	oppsug	-	-
oppsätta	oppsätter	oppsatte	oppsatt	oppsätt	-	-
oppsöka	oppsöker	oppsökte	oppsökt	oppsök	-	-
oppta	-	opptog	opptagit	-	opptage	-
oppväga	oppväger	oppvägde	oppvägt	oppväg	-	-
oppväxa	oppväxer	oppväxte	oppvuxit	-	-	-
oppäta	oppäter	oppåt	oppätit	oppät	-	-
ordinariesätta	ordinariesätter	ordinariesatte	ordinariesatt	ordinariesätt	-	-
oskadliggöra	oskadliggör	oskadliggjorde	oskadliggjort	oskadliggör	-	-
osynliggöra	osynliggör	osynliggjorde	osynliggjort	osynliggör	-	-
pantförskriva	pantförskriver	pantförskrev	pantförskrivit	pantförskriv	-	-
pantsätta	pantsätter	pantsatte	pantsatt	pantsätt	-	-
pipa	piper	pep	pipit	pip	-	-
planlägga	planlägger	planla	planlagt	planlägg	-	-
pliktfälla	pliktfäller	pliktfällde	pliktfällt	pliktfäll	-	-
plöja	plöjer	plöjde	plöjt	plöj	-	-
polisanmäla	polisanmäler	polisanmälde	polisanmält	polisanmäl	-	-
portförbjuda	portförbjuder	portförbjöd	portförbjudit	portförbjud	-	-
premiärköra	premiärkör	premiärkörde	premiärkört	premiärkör	-	-
presslägga	presslägger	pressla	presslagt	presslägg	-	-
prickskjuta	prickskjuter	pricksköt	prickskjutit	prickskjut	-	-
prisge	-	prisgav	prisgett	-	prisgive	-
prismärka	prismärker	prismärkte	prismärkt	prismärk	-	-
prisnedsätta	prisnedsätter	prisnedsatte	prisnedsatt	prisnedsätt	-	-
prissätta	prissätter	prissatte	prissatt	prissätt	-	-
promenadköra	promenadkör	promenadkörde	promenadkört	promenadkör	-	-
protokollföra	protokollför	protokollförde	protokollfört	protokollför	-	-
provföreläsa	provföreläser	provföreläste	provföreläst	provföreläs	-	-
provköra	provkör	provkörde	provkört	provkör	-	-
provläsa	provläser	provläste	provläst	provläs	-	-
provrida	provrider	provred	provridit	provrid	-	-
provskjuta	provskjuter	provsköt	provskjutit	provskjut	-	-
pryda	pryder	prydde	prytt	pryd	-	-
prästviga	prästviger	prästvigde	prästvigt	prästvig	-	-
pungslå	-	pungslog	pungslagit	-	-	-
pyra	pyr	pyrde	pyrt	pyr	-	-
pysa	pyser	pyste	pyst	pys	-	-
påbjuda	påbjuder	påbjöd	påbjudit	påbjud	-	-
påföra	påför	påförde	påfört	påför	-	-
pågå	-	pågick	pågått	-	-	-
pålägga	pålägger	påla	pålagt	pålägg	-	-
pålöda	pålöder	pålödde	pålött	pålöd	-	-
påminna	påminner	påminde	påmint	påminn	-	-
pånyttföda	pånyttföder	pånyttfödde	pånyttfött	pånyttföd	-	-
påskina	påskiner	påsken	påskinit	påskin	-	-
påspä	-	påspädde	påspätt	-	-	-
påstå	-	påstod	påstådd	-	-	-
påta	-	-	-	-	påtage	-
pösa	pöser	pöste	pöst	pös	-	-
reda	reder	redde	rett	red	-	-
redogöra	redogör	redogjorde	redogjort	redogör	-	-
regnbågsmärka	regnbågsmärker	regnbågsmärkte	regnbågsmärkt	regnbågsmärk	-	-
rengöra	rengör	rengjorde	rengjort	rengör	-	-
renskriva	renskriver	renskrev	renskrivit	renskriv	-	-
rentvå	-	rentvådde	rentvått	-	-	-
resa	reser	reste	rest	res	-	-
rida	rider	red	ridit	rid	-	-
ringmärka	ringmärker	ringmärkte	ringmärkt	ringmärk	-	-
rinna	rinner	rann	runnit	rinn	-	-
riva	river	rev	rivit	riv	-	-
rivas	rivs	-	-	-	-	-
ro	-	rodde	rott	-	-	-
rollbesätta	rollbesätter	rollbesatte	rollbesatt	rollbesätt	-	-
rotfylla	rotfyller	rotfyllde	rotfyllt	rotfyll	-	-
rumphugga	rumphugger	rumphögg	rumphuggit	rumphugg	-	-
rundsmörja	rundsmörjer	rundsmorde	rundsmort	rundsmörj	-	-
rycka	rycker	ryckte	ryckt	ryck	-	-
ryka	ryker	rykte	rukit	ryk	-	-
rymma	rymmer	rymde	rymt	rym	-	-
rymmas	ryms	-	-	-	-	-
rysa	ryser	ryste	ryst	rys	-	-
ryta	ryter	röt	rutit	ryt	-	-
räcka	räcker	räckte	räckt	räck	-	-
ränna	ränner	rände	ränt	ränn	-	-
rännskita	rännskiter	rännsket	rännskitit	rännskit	-	-
rättfärdiggöra	rättfärdiggör	rättfärdiggjorde	rättfärdiggjort	rättfärdiggör	-	-
rå	-	rådde	rått	-	-	-
råda	råder	rådde	rått	råd	-	-
rådföra	rådför	rådförde	rådfört	rådför	-	-
rådgöra	rådgör	rådgjorde	rådgjort	rådgör	-	-
rådlägga	rådlägger	rådla	rådlagt	rådlägg	-	-
rådslå	-	rådslog	rådslagit	-	rådslåge	-
råriva	råriver	rårev	rårivit	råriv	-	-
råskälla	råskäller	råskällde	råskällt	råskäll	-	-
råsteka	råsteker	råstekte	råstekt	råstek	-	-
röja	röjer	röjde	röjt	röj	-	-
röka	röker	rökte	rökt	rök	-	-
röna	röner	rönte	rönt	rön	-	-
röra	rör	rörde	rört	rör	-	-
sakfälla	sakfäller	sakfällde	sakfällt	sakfäll	-	-
saliggöra	saliggör	saliggjorde	saliggjort	saliggör	-	-
salubjuda	salubjuder	salubjöd	salubjudit	salubjud	-	-
saluföra	saluför	saluförde	salufört	saluför	-	-
sambo	-	sambodde	sambott	-	-	-
samgå	-	samgick	samgått	-	samgånge	-
samköra	samkör	samkörde	samkört	samkör	-	-
sammanbinda	sammanbinder	sammanband	sammanbundit	sammanbind	-	-
sammanbo	-	sammanbodde	sammanbott	-	-	-
sammandra	-	sammandrog	sammandragit	-	sammandrage	-
sammanfalla	sammanfaller	sammanföll	sammanfallit	sammanfall	-	-
sammanföra	sammanför	sammanförde	sammanfört	sammanför	-	-
sammangå	-	sammangick	sammangått	-	sammangånge	-
sammanhänga	sammanhänger	sammanhängde	sammanhängt	sammanhäng	-	-
sammanhålla	sammanhåller	sammanhöll	sammanhållit	sammanhåll	-	-
sammanleva	sammanlever	sammanlevde	-	sammanlev	-	-
sammanlägga	sammanlägger	sammanla	sammanlagt	sammanlägg	-	-
sammanlöpa	sammanlöper	sammanlöpte	sammanlöpt	sammanlöp	-	-
sammanringa	sammanringer	sammanringde	sammanringt	sammanring	-	-
sammanskjuta	sammanskjuter	sammansköt	sammanskjutit	sammanskjut	-	-
sammanskriva	sammanskriver	sammanskrev	sammanskrivit	sammanskriv	-	-
sammanslå	-	sammanslog	sammanslagit	-	-	-
sammansmälta	sammansmälter	sammansmälte	sammansmält	sammansmält	-	-
sammanställa	sammanställer	sammanställde	sammanställt	sammanställ	-	-
sammanstöta	sammanstöter	sammanstötte	sammanstött	sammanstöt	-	-
sammansätta	sammansätter	sammansatte	sammansatt	sammansätt	-	-
sammantrycka	sammantrycker	sammantryckte	sammantryckt	sammantryck	-	-
sammanträda	sammanträder	sammanträdde	sammanträtt	sammanträd	-	-
sammanviga	sammanviger	sammanvigde	sammanvigt	sammanvig	-	-
sammanväga	sammanväger	sammanvägde	sammanvägt	sammanväg	-	-
sammanväva	sammanväver	sammanvävde	sammanvävt	sammanväv	-	-
sammanväxa	sammanväxer	sammanväxte	sammanväxt	sammanväx	-	-
samråda	samråder	samrådde	samrått	samråd	-	-
samtycka	samtycker	samtyckte	samtyckt	samtyck	-	-
samvara	-	-	samvarit	-	-	-
samåka	samåker	samåkte	samåkt	samåk	-	-
schemalägga	schemalägger	schemala	schemalagt	schemalägg	-	-
se	-	såg	sett	-	-	-
segdra	-	segdrog	segdragit	-	segdrage	-
segelflyga	segelflyger	segelflög	segelflugit	segelflyg	-	-
sekretessbelägga	sekretessbelägger	sekretessbela	sekretessbelagt	sekretessbelägg	-	-
semesterresa	semesterreser	semesterreste	semesterrest	semesterres	-	-
senarelägga	senarelägger	senarela	senarelagt	senarelägg	-	-
sitta	sitter	satt	suttit	sitt	-	-
sjuda	sjuder	sjöd	sjudit	sjud	-	-
sjukanmäla	sjukanmäler	sjukanmälde	sjukanmält	sjukanmäl	-	-
sjukskriva	sjukskriver	sjukskrev	sjukskrivit	sjukskriv	-	-
sjunga	sjunger	sjöng	sjungit	sjung	-	-
sjunka	sjunker	sjönk	sjunkit	sjunk	-	-
självantända	självantänder	självantände	självantänt	självantänd	-	-
självdö	-	självdog	självdött	-	-	-
självläka	självläker	självläkte	självläkt	självläk	-	-
självtända	självtänder	självtände	självtänt	självtänd	-	-
sjösätta	sjösätter	sjösatte	sjösatt	sjösätt	-	-
skadeskjuta	skadeskjuter	skadesköt	skadeskjutit	skadeskjut	-	-
skadskjuta	skadskjuter	skadsköt	skadskjutit	skadskjut	-	-
skambelägga	skambelägger	skambela	skambelagt	skambelägg	-	-
skattlägga	skattlägger	skattla	skattlagt	skattlägg	-	-
skattskriva	skattskriver	skattskrev	skattskrivit	skattskriv	-	-
skava	skaver	skavde	skavt	skav	-	-
ske	-	skedde	skett	-	-	-
skilja	skiljer	skilde	skilt	skilj	-	-
skiljas	skiljs	-	-	-	-	-
skina	skiner	sken	skinit	skin	-	-
skita	skiter	sket	skitit	skit	-	-
skjuta	skjuter	sköt	skjutit	skjut	-	-
sko	-	skodde	skott	-	-	-
skrida	skrider	skred	skridit	skrid	-	-
skrika	skriker	skrek	skrikit	skrik	-	-
skrinlägga	skrinlägger	skrinla	skrinlagt	skrinlägg	-	-
skriva	skriver	skrev	skrivit	skriv	-	-
skrymma	skrymmer	skrymde	skrymt	skrym	-	-
skryta	skryter	skröt	skrutit	skryt	-	-
skräda	skräder	skrädde	skrätt	skräd	-	-
skräddarsy	-	skräddarsydde	skräddarsytt	-	-	-
skrälla	skräller	skrällde	skrällt	skräll	-	-
skrämma	skrämmer	skrämde	skrämt	skräm	-	-
skränka	skränker	skränkte	skränkt	skränk	-	-
skräppa	skräpper	skräppte	skräppt	skräpp	-	-
skuldbelägga	skuldbelägger	skuldbela	skuldbelagt	skuldbelägg	-	-
skuldsätta	skuldsätter	skuldsatte	skuldsatt	skuldsätt	-	-
skvätta	skvätter	skvatt	skvätt	skvätt	-	-
sky	-	skydde	skytt	-	-	-
skylla	skyller	skyllde	skyllt	skyll	-	-
skymma	skymmer	skymde	skymt	skym	-	-
skälla	skäller	skällde	skällt	skäll	-	-
skälva	skälver	skalv	skälv	skälv	-	-
skämma	skämmer	skämde	skämt	skäm	-	-
skänka	skänker	skänkte	skänkt	skänk	-	-
skärpa	skärper	skärpte	skärpt	skärp	-	-
skåpsupa	skåpsuper	skåpsöp	skåpsupit	skåpsup	-	-
skåpäta	skåpät	skåpåt	skåpätit	skåpät	-	-
skölja	sköljer	sköljde	sköljt	skölj	-	-
skönja	skönjer	skönjde	skönjt	skönj	-	-
sköta	sköter	skötte	skött	sköt	-	-
slinka	slinker	slank	slunkit	slink	-	-
slinta	slinter	slant	sluntit	slint	-	-
slippa	slipper	slapp	sluppit	slipp	-	-
slita	sliter	slet	slitit	slit	-	-
slutföra	slutför	slutförde	slutfört	slutför	-	-
släcka	släcker	släckte	släckt	släck	-	-
slänga	slänger	slängde	slängt	släng	-	-
släppa	släpper	släppte	släppt	släpp	-	-
släthugga	släthugger	släthögg	släthuggit	släthugg	-	-
slätstryka	slätstryker	slätströk	slätstrukit	slätstryk	-	-
slå	-	slog	slagit	-	-	-
smaksätta	smaksätter	smaksatte	smaksatt	smaksätt	-	-
smeka	smeker	smekte	smekt	smek	-	-
smekas	smeks	-	-	-	-	-
smida	smider	smidde	smitt	smid	-	-
smita	smiter	smet	smitit	smit	-	-
smyga	smyger	smög	smugit	smyg	-	-
smygröka	smygröker	smygrökte	smygrökt	smygrök	-	-
smygsupa	smygsuper	smygsöp	smygsupit	smygsup	-	-
smygäta	smygäter	smygåt	smygätit	smygät	-	-
smäcka	smäcker	smäckte	smäckt	smäck	-	-
smälla	smäller	smällde	smällt	smäll	-	-
smälta	smälter	smalt	smultit	smält	-	-
smätta	smätter	smätte	smätt	smätt	-	-
småblåsa	småblåser	småblåste	småblåst	småblås	-	-
småle	-	smålog	smålett	-	-	-
småmysa	småmyser	småmyste	småmyst	småmys	-	-
småsjunga	småsjunger	småsjöng	småsjungit	småsjung	-	-
småsova	småsover	småsov	småsovit	småsov	-	-
småspringa	småspringer	småsprang	småsprungit	småspring	-	-
småsupa	småsuper	småsöp	småsupit	småsup	-	-
småsvära	småsvär	småsvor	småsvurit	småsvär	-	-
småträta	småträter	småträtte	småträtt	småträt	-	-
smörfräsa	smörfräser	smörfräste	smörfräst	smörfräs	-	-
smörja	smörjer	smorde	smort	smörj	-	-
smörsteka	smörsteker	smörstekte	smörstekt	smörstek	-	-
snabbfrysa	snabbfryser	snabbfryste	snabbfrusit	snabbfrys	-	-
snabbutreda	snabbutreder	snabbutredde	snabbutrett	snabbutred	-	-
snedskära	snedskär	snedskar	snedskurit	snedskär	-	-
snedställa	snedställer	snedställde	snedställt	snedställ	-	-
snedvrida	snedvrider	snedvred	snedvridit	snedvrid	-	-
snika	sniker	snek	snikit	-	-	-
sno	-	snodde	snott	-	-	-
snusmala	snusmal	snusmalde	snusmalt	snusmal	-	-
snyta	snyter	snöt	snutit	snyt	-	-
snäppa	snäpper	snäppte	snäppt	snäpp	-	-
snärja	snärjer	snärjde	snärjt	snärj	-	-
snärpa	snärper	snärpte	snärpt	snärp	-	-
snäsa	snäser	snäste	snäst	snäs	-	-
snöpa	snöper	snöpte	snöpt	snöp	-	-
snöra	snör	snörde	snört	snör	-	-
snörpa	snörper	snörpte	snörpt	snörp	-	-
sova	sover	sov	sovit	sov	-	-
spadvända	spadvänder	spadvände	spadvänt	spadvänd	-	-
specialbeställa	specialbeställer	specialbeställde	specialbeställt	specialbeställ	-	-
spilla	spiller	spillde	spillt	spill	-	-
spinna	spinner	spann	spunnit	spinn	-	-
spricka	spricker	sprack	spruckit	sprick	-	-
sprida	sprider	spred	spridit	sprid	-	-
springa	springer	sprang	sprungit	spring	-	-
spritdränka	spritdränker	spritdränkte	spritdränkt	spritdränk	-	-
spritta	spritter	spratt	spruttit	spritt	-	-
spräcka	spräcker	spräckte	spräckt	spräck	-	-
spränga	spränger	sprängde	sprängt	spräng	-	-
spy	-	spydde	spytt	-	-	-
spä	-	spädde	spätt	-	-	-
späka	späker	späkte	späkt	späk	-	-
spänna	spänner	spände	spänt	spänn	-	-
spå	-	spådde	spått	-	-	-
spörja	spörjer	sporde	sport	spörj	-	-
stadfästa	stadfäster	stadfäste	stadfäst	stadfäst	-	-
stadvända	stadvänder	stadvände	stadvänt	stadvänd	-	-
stagvända	stagvänder	stagvände	stagvänt	stagvänd	-	-
steka	steker	stekte	stekt	stek	-	-
stenlägga	stenlägger	stenla	stenlagt	stenlägg	-	-
stensätta	stensätter	stensatte	stensatt	stensätt	-	-
stiga	stiger	steg	stigit	stig	-	-
stinga	stinger	-	stungit	-	-	-
stinka	stinker	stank	stunkit	stink	-	-
stjäla	stjäl	stal	stulit	stjäl	-	-
stjälpa	stjälper	stjälpte	stjälpt	stjälp	-	-
storgråta	storgråter	storgrät	storgråtit	storgråt	-	-
storljuga	storljuger	storljög	storljugit	storljug	-	-
stormskälla	stormskäller	stormskällde	stormskällt	stormskäll	-	-
storskrika	storskriker	storskrek	storskrikit	storskrik	-	-
stortjuta	stortjuter	stortjöt	stortjutit	stortjut	-	-
straffbelägga	straffbelägger	straffbela	straffbelagt	straffbelägg	-	-
strandsätta	strandsätter	strandsatte	strandsatt	strandsätt	-	-
strida	strider	stred	stridit	strid	-	-
stryka	stryker	strök	strukit	stryk	-	-
strypa	stryper	strypte	strypt	stryp	-	-
sträcka	sträcker	sträckte	sträckt	sträck	-	-
sträckläsa	sträckläser	sträckläste	sträckläst	sträckläs	-	-
strö	-	strödde	strött	-	-	-
styra	styr	styrde	styrt	styr	-	-
styrka	styrker	styrkte	styrkt	styrk	-	-
stäcka	stäcker	stäckte	stäckt	stäck	-	-
städja	städer	stadde	statt	städ	-	-
ställa	ställer	ställde	ställt	ställ	-	-
stämma	stämmer	stämde	stämt	stäm	-	-
stänga	stänger	stängde	stängt	stäng	-	-
stänka	stänker	stänkte	stänkt	stänk	-	-
stärka	stärker	stärkte	stärkt	stärk	-	-
stå	-	stod	stått	-	-	-
stödja	stöder	stödde	stött	stöd	-	-
stödköpa	stödköper	stödköpte	stödköpt	stödköp	-	-
stöpa	stöper	stöpte	stöpt	stöp	-	-
störtblöda	störtblöder	störtblödde	störtblött	störtblöd	-	-
stöta	stöter	stötte	stött	stöt	-	-
suga	suger	sög	sugit	sug	-	-
supa	super	söp	supit	sup	-	-
sveda	sveder	svedde	svett	sved	-	-
svepa	sveper	svepte	svept	svep	-	-
svida	svider	sved	svidit	svid	-	-
svika	sviker	svek	svikit	svik	-	-
svinna	svinner	svann	svunnit	svinn	-	-
svälja	sväljer	svalde	svalt	svälj	-	-
svälla	sväller	svällde	svällt	sväll	-	-
svälta	svälter	svalt	svultit	svält	-	-
svänga	svänger	svängde	svängt	sväng	-	-
svära	svär	svor	svurit	svär	-	-
sy	-	sydde	sytt	-	-	-
synas	syns	syntes	synts	-	-	-
synliggöra	synliggör	synliggjorde	synliggjort	synliggör	-	-
syrsätta	syrsätter	syrsatte	syrsatt	syrsätt	-	-
sysselsätta	sysselsätter	sysselsatte	sysselsatt	sysselsätt	-	-
säga	säger	sa	sagt	säg	-	-
säkerställa	säkerställer	säkerställde	säkerställt	säkerställ	-	-
sälja	säljer	sålde	sålt	sälj	-	-
sällskapsgråta	sällskapsgråter	sällskapsgrät	sällskapsgråtit	sällskapsgråt	-	-
sällskapsäta	sällskapsäter	sällskapsåt	sällskapsätit	sällskapsät	-	-
sända	sänder	sände	sänt	sänd	-	-
sängröka	sängröker	sängrökte	sängrökt	sängrök	-	-
sänka	sänker	sänkte	sänkt	sänk	-	-
särskilja	särskiljer	särskilde	särskilt	särskilj	-	-
särskriva	särskriver	särskrev	särskrivit	särskriv	-	-
sätta	sätter	satte	satt	sätt	-	-
så	-	sådde	sått	-	-	-
söka	söker	sökte	sökt	sök	-	-
söndagsköra	söndagskör	söndagskörde	söndagskört	söndagskör	-	-
sönderfalla	sönderfaller	sönderföll	sönderfallit	sönderfall	-	-
sönderriva	sönderriver	sönderrev	sönderrivit	sönderriv	-	-
sönderslita	söndersliter	sönderslet	sönderslitit	sönderslit	-	-
sönderspränga	sönderspränger	söndersprängde	söndersprängt	sönderspräng	-	-
sörja	sörjer	sörjde	sörjt	sörj	-	-
söva	söver	sövde	sövt	söv	-	-
ta	-	tog	tagit	-	tage	-
tabubelägga	tabubelägger	tabubela	tabubelagt	tabubelägg	-	-
tentamensläsa	tentamensläser	tentamensläste	tentamensläst	tentamensläs	-	-
testflyga	testflyger	testflög	testflugit	testflyg	-	-
testköra	testkör	testkörde	testkört	testkör	-	-
tidfästa	tidfäster	tidfäste	tidfäst	tidfäst	-	-
tidigarelägga	tidigarelägger	tidigarela	tidigarelagt	tidigarelägg	-	-
tidsbestämma	tidsbestämmer	tidsbestämde	tidsbestämt	tidsbestäm	-	-
tidsinställa	tidsinställer	tidsinställde	tidsinställt	tidsinställ	-	-
tiga	tiger	teg	tigit	tig	-	-
tigga	tigger	tiggde	tiggt	tigg	-	-
tillbe	-	tillbad	tillbett	-	tillbede	-
tilldöma	tilldömer	tilldömde	tilldömt	tilldöm	-	-
tillerkänna	tillerkänner	tillerkände	tillerkänt	tillerkänn	-	-
tillfalla	tillfaller	tillföll	tillfallit	tillfall	-	-
tillfredsställa	tillfredsställer	tillfredsställde	tillfredsställt	tillfredsställ	-	-
tillfrysa	tillfryser	tillfryste	tillfrusit	tillfrys	-	-
tillfångata	-	tillfångatog	tillfångatagit	-	tillfångatage	-
tillföra	tillför	tillförde	tillfört	tillför	-	-
tillge	-	tillgav	tillgett	-	tillgive	-
tillgodose	-	tillgodosåg	tillgodosett	-	-	-
tillgodoskriva	tillgodoskriver	tillgodoskrev	tillgodoskrivit	tillgodoskriv	-	-
tillgripa	tillgriper	tillgrep	tillgripit	tillgrip	-	-
tillgängliggöra	tillgängliggör	tillgängliggjorde	tillgängliggjort	tillgängliggör	-	-
tillgå	-	tillgick	tillgått	-	-	-
tillhandahålla	tillhandahåller	tillhandahöll	tillhandahållit	tillhandahåll	-	-
tillhålla	tillhåller	tillhöll	tillhållit	tillhåll	-	-
tillhöra	tillhör	tillhörde	tillhört	tillhör	-	-
tillintetgöra	tillintetgör	tillintetgjorde	tillintetgjort	tillintetgör	-	-
tillkomma	tillkommer	tillkom	tillkommit	tillkom	-	-
tillkännage	-	tillkännagav	tillkännagett	-	tillkännagive	-
tillmäta	tillmäter	tillmätte	tillmätt	tillmät	-	-
tillmötesgå	-	tillmötesgick	tillmötesgått	-	-	-
tillreda	tillreder	tillredde	tillrett	tillred	-	-
tillryggalägga	tillryggalägger	tillryggala	tillryggalagt	tillryggalägg	-	-
tillrättalägga	tillrättalägger	tillrättala	tillrättalagt	tillrättalägg	-	-
tillråda	tillråder	tillrådde	tillrått	tillråd	-	-
tillse	-	tillsåg	tillsett	-	-	-
tillskjuta	tillskjuter	tillsköt	tillskjutit	tillskjut	-	-
tillskriva	tillskriver	tillskrev	tillskrivit	tillskriv	-	-
tillskära	tillskär	tillskar	tillskurit	tillskär	-	-
tillsluta	tillsluter	tillslöt	tillslutit	tillslut	-	-
tillspilloge	-	tillspillogav	tillspillogett	-	tillspillogive	-
tillstyrka	tillstyrker	tillstyrkte	tillstyrkt	tillstyrk	-	-
tillstädja	tillstäder	tillstadde	tillstatt	tillstäd	-	-
tillställa	tillställer	tillställde	tillställt	tillställ	-	-
tillstå	-	tillstod	tillstått	-	-	-
tillstöta	tillstöter	tillstötte	tillstött	tillstöt	-	-
tillsäga	tillsäger	tillsade	tillsagt	tillsäg	-	-
tillsända	tillsänder	tillsände	tillsänt	tillsänd	-	-
tillsätta	tillsätter	tillsatte	tillsatt	tillsätt	-	-
tillta	-	tilltog	tilltagit	-	tilltage	-
tilltro	-	tilltrodde	tilltrott	-	-	-
tillträda	tillträder	tillträdde	tillträtt	tillträd	-	-
tilltäppa	tilltäpper	tilltäppte	tilltäppt	tilltäpp	-	-
tillvarata	-	tillvaratog	tillvaratagit	-	tillvaratage	-
tillvänja	tillvänjer	tillvande	tillvant	tillvänj	-	-
tillväxa	tillväxer	tillväxte	tillvuxit	-	-	-
tillägga	tillägger	tilla	tillagt	tillägg	-	-
tillåta	tillåter	tillät	tillåtit	tillåt	-	-
tjuta	tjuter	tjöt	tjutit	tjut	-	-
tjuvhugga	tjuvhugger	tjuvhögg	tjuvhuggit	tjuvhugg	-	-
tjuvhålla	tjuvhåller	tjuvhöll	tjuvhållit	tjuvhåll	-	-
tjuvläsa	tjuvläser	tjuvläste	tjuvläst	tjuvläs	-	-
tjuvröka	tjuvröker	tjuvrökte	tjuvrökt	tjuvrök	-	-
tjyvhålla	tjyvhåller	tjyvhöll	tjyvhållit	tjyvhåll	-	-
tjyvröka	tjyvröker	tjyvrökte	tjyvrökt	tjyvrök	-	-
tjänstgöra	tjänstgör	tjänstgjorde	tjänstgjort	tjänstgör	-	-
tonsätta	tonsätter	tonsatte	tonsatt	tonsätt	-	-
topphugga	topphugger	topphögg	topphuggit	topphugg	-	-
topprida	topprider	toppred	toppridit	topprid	-	-
torde	-	-	-	-	tör	-
torgföra	torgför	torgförde	torgfört	torgför	-	-
torrlägga	torrlägger	torrla	torrlagt	torrlägg	-	-
torröka	torröker	torrökte	torrökt	torrök	-	-
torvtäcka	torvtäcker	torvtäckte	torvtäckt	torvtäck	-	-
totalförbjuda	totalförbjuder	totalförbjöd	totalförbjudit	totalförbjud	-	-
totalförstöra	totalförstör	totalförstörde	totalförstört	totalförstör	-	-
