# lemma	pfv	ipfv	prf	prs	ipfvn	imp
ጠቀመ	ጠቀመ	ይጠቅማል	ጠቅሟል	-	ይጠቅም	-
ጠቀሰ	ጠቀሰ	ይጠቅሳል	ጠቅሷል	-	ይጠቅስ	ጥቀስ
ጠቆመ	ጠቆመ	ይጠቁማል	ጠቁሟል	-	ይጠቁም	ጠቁም
ጠበቀ	ጠበቀ	ይጠብቃል	ጠብቋል	-	ይጠብቅ	ጠብቅ
ጠየቀ	ጠየቀ	ይጠይቃል	ጠይቋል	-	ይጠይቅ	ጠይቅ
ጠጣ	ጠጣ	ይጠጣል	ጠጥቷል	-	ይጠጣ	ጠጣ
ጠፋ	ጠፋ	ይጠፋል	ጠፍቷል	-	ይጠፋ	ጥፋ
ጣለ	ጣለ	ይጥላል	ጥሏል	-	ይጥል	ጣል
ጣረ	ጣረ	ይጥራል	ጥሯል	-	ይጥር	ጣር
ጣሰ	ጣሰ	ይጥሳል	ጥሷል	-	ይጥስ	ጣስ
ጨለመ	ጨለመ	ይጨልማል	ጨልሟል	-	ይጨልም	-
ጨመረ	ጨመረ	ይጨምራል	ጨምሯል	-	ይጨምር	ጨምር
ጨረሰ	ጨረሰ	ይጨርሳል	ጨርሷል	-	ይጨርስ	ጨርስ
ጫረ	ጫረ	ይጭራል	ጭሯል	-	ይጭር	ጫር
ጫነ	ጫነ	ይጭናል	ጭኗል	-	ይጭን	ጫን
ጮኸ	ጮኸ	ይጮሀል	ጮኋል	-	ይጮህ	ጩህ
ጸለየ	ጸለየ	ይጸልያል	ጸሊዮአል	-	ይጸልይ	ጸልይ
ጸደቀ	ፀደቀ	ይፀድቃል	ፀድቋል	-	ይፀድቅ	-
ጻፈ	ጻፈ	ይጽፋል	ጽፏል	-	ይጽፍ	ጻፍ
ፈለገ	ፈለገ	ይፈልጋል	ፈልጓል	-	ይፈልግ	ፈልግ
ፈረመ	ፈረመ	ይፈርማል	ፈርሟል	-	ይፈርም	ፈርም
ፈረሰ	ፈረሰ	ይፈርሳል	ፈርሷል	-	ይፈርስ	-
ፈረደ	ፈረደ	ይፈርዳል	ፈርዷል	-	ይፈርድ	ፍረድ
ፈራ	ፈራ	ይፈራል	ፈርቷል	-	ይፈራ	ፍራ
ፈሰሰ	ፈሰሰ	ይፈሳል	ፈሷል	-	ይፈስ	-
ፈቀደ	ፈቀደ	ይፈቅዳል	ፈቅዷል	-	ይፈቅድ	ፍቀድ
ፈተሸ	ፈተሸ	ይፈትሻል	ፈትሿል	-	ይፈትሽ	ፈትሽ
ፈታ	ፈታ	ይፈታል	ፈትቷል	-	ይፈታ	ፍታ
ፈጀ	ፈጀ	ይፈጃል	ፈጅቷል	-	ይፈጅ	-
ፈጠረ	ፈጠረ	ይፈጥራል	ፈጥሯል	-	ይፈጥር	ፍጠር
ፈጸመ	ፈፀመ	ይፈፅማል	ፈፅሟል	-	ይፈፅም	ፈፅም
