# lemma(1sg.pres)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;1;PL	V;IND;PST;2;PL	V;IND;PST;3;PL	V;IND;PROG;PST;1;SG	V;IND;PROG;PST;2;SG	V;IND;PROG;PST;3;SG	V;IND;PROG;PST;1;PL	V;IND;PROG;PST;2;PL	V;IND;PROG;PST;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP;ACT;PST;MASC;SG;INDF	V.PTCP;ACT;PST;FEM;SG;INDF	V.PTCP;ACT;PST;NEUT;SG;INDF	V.PTCP;ACT;PST;PL;INDF	V.PTCP;ACT;PST;NFH;MASC;SG;INDF	V.PTCP;ACT;PST;NFH;FEM;SG;INDF	V.PTCP;ACT;PST;NFH;NEUT;SG;INDF	V.PTCP;ACT;PST;NFH;PL;INDF	V.PTCP;ACT;PRS;MASC;SG;INDF	V.PTCP;ACT;PRS;FEM;SG;INDF	V.PTCP;ACT;PRS;NEUT;SG;INDF	V.PTCP;ACT;PRS;PL;INDF	V.PTCP;PASS;PST;MASC;SG;INDF	V.PTCP;PASS;PST;FEM;SG;INDF	V.PTCP;PASS;PST;NEUT;SG;INDF	V.PTCP;PASS;PST;PL;INDF	V.MSDR;NEUT;SG;INDF	V.MSDR;PL;INDF  ("-" = productive default)
коткам	-	-	-	-	-	-	котках	котка	котка	коткахме	коткахте	коткаха	котках	коткаше	коткаше	коткахме	коткахте	коткаха	коткаи	коткаите	коткаики	коткал	коткала	коткало	коткали	коткал	коткала	коткало	коткали	коткащ	коткаща	коткащо	коткащи	-	-	-	-	коткане	котканета
котя	котя	котиш	коти	котим	котите	котят	котих	коти	коти	котихме	котихте	котиха	котех	котеше	котеше	котехме	котехте	котеха	коти	котете	котеики	котил	котила	котило	котили	котел	котела	котело	котели	котещ	котеща	котещо	котещи	котен	котена	котено	котени	котене	котенета
коя	коя	коиш	кои	коим	коите	коят	коих	кои	кои	коихме	коихте	коиха	коех	коеше	коеше	коехме	коехте	коеха	кои	коите	коеики	коил	коила	коило	коили	коел	коела	коело	коели	коещ	коеща	коещо	коещи	коен	коена	коено	коени	коене	коенета
крада	крада	крадеш	краде	крадем	крадете	крадат	крадох	краде	краде	крадохме	крадохте	крадоха	крадях	крадеше	крадеше	крадяхме	крадяхте	крадяха	кради	крадете	крадейки	крал	крала	крало	крали	крадял	крадяла	крадяло	крадели	крадящ	крадяща	крадящо	крадящи	краден	крадена	крадено	крадени	крадене	крадения-нета
крася	крася	красиш	краси	красим	красите	красят	красих	краси	краси	красихме	красихте	красиха	красях	красеше	красеше	красяхме	красяхте	красяха	краси	красете	красеики	красил	красила	красило	красили	красял	красяла	красяло	красели	красящ	красяща	красящо	красящи	красен	красена	красено	красени	красене	красенета
крена	крена	кренеш	крене	кренем	кренете	кренат	кренах	крена	крена	кренахме	кренахте	кренаха	кренех	кренеше	кренеше	кренехме	кренехте	кренеха	крени	кренете	-	кренал	кренала	кренало	кренали	кренел	кренела	кренело	кренели	-	-	-	-	кренат	крената	кренато	кренати	-	-
крепна	крепна	крепнеш	крепне	крепнем	крепнете	крепнат	крепнах	крепна	крепна	крепнахме	крепнахте	крепнаха	крепнех	крепнеше	крепнеше	крепнехме	крепнехте	крепнеха	крепни	крепнете	-	крепнал	крепнала	крепнало	крепнали	крепнел	крепнела	крепнело	крепнели	-	-	-	-	крепнат	крепната	крепнато	крепнати	-	-
крепя	крепя	крепиш	крепи	крепим	крепите	крепят	крепих	крепи	крепи	крепихме	крепихте	крепиха	крепях	крепеше	крепеше	крепяхме	крепяхте	крепяха	крепи	крепете	крепеики	крепил	крепила	крепило	крепили	крепял	крепяла	крепяло	крепели	крепящ	крепяща	крепящо	крепящи	крепен	крепена	крепено	крепени	крепене	крепенета
кретам	-	-	-	-	-	-	кретах	крета	крета	кретахме	кретахте	кретаха	кретах	креташе	креташе	кретахме	кретахте	кретаха	кретаи	кретаите	кретаики	кретал	кретала	кретало	кретали	кретал	кретала	кретало	кретали	кретащ	кретаща	кретащо	кретащи	-	-	-	-	кретане	кретанета
крещя	крещя	крещиш	крещи	крещим	крещите	крещят	крещях	крещя	крещя	крещяхме	крещяхте	крещяха	крещях	крещеше	крещеше	крещяхме	крещяхте	крещяха	крещи	крещете	крещеики	крещял	крещяла	крещяло	крещели	крещял	крещяла	крещяло	крещели	крещящ	крещяща	крещящо	крещящи	-	-	-	-	крещене	крещенета
крея	крея	крееш	крее	креем	креете	креят	креях	крея	крея	креяхме	креяхте	креяха	креех	крееше	крееше	креехме	креехте	крееха	креи	креите	крееики	креял	креяла	креяло	крели	креел	креела	креело	креели	креещ	крееща	креещо	креещи	-	-	-	-	креене	креенета
кривуцам	-	-	-	-	-	-	кривуцах	кривуца	кривуца	кривуцахме	кривуцахте	кривуцаха	кривуцах	кривуцаше	кривуцаше	кривуцахме	кривуцахте	кривуцаха	кривуцаи	кривуцаите	кривуцаики	кривуцал	кривуцала	кривуцало	кривуцали	кривуцал	кривуцала	кривуцало	кривуцали	кривуцащ	кривуцаща	кривуцащо	кривуцащи	-	-	-	-	кривуцане	кривуцанета
кринджвам	-	-	-	-	-	-	кринджвах	кринджва	кринджва	кринджвахме	кринджвахте	кринджваха	кринджвах	кринджваше	кринджваше	кринджвахме	кринджвахте	кринджваха	кринджваи	кринджваите	кринджваики	кринджвал	кринджвала	кринджвало	кринджвали	кринджвал	кринджвала	кринджвало	кринджвали	кринджващ	кринджваща	кринджващо	кринджващи	-	-	-	-	кринджване	кринджванета
крия	крия	криеш	крие	крием	криете	крият	крих	кри	кри	крихме	крихте	криха	криех	криеше	криеше	криехме	криехте	криеха	крии	криите	криеики	крил	крила	крило	крили	криел	криела	криело	криели	криещ	криеща	криещо	криещи	крит	крита	крито	крити	криене	криенета
крокам	-	-	-	-	-	-	кроках	крока	крока	крокахме	крокахте	крокаха	кроках	крокаше	крокаше	крокахме	крокахте	крокаха	крокаи	крокаите	крокаики	крокал	крокала	крокало	крокали	крокал	крокала	крокало	крокали	крокащ	крокаща	крокащо	крокащи	-	-	-	-	крокане	кроканета
кроя	кроя	кроиш	крои	кроим	кроите	кроят	кроих	крои	крои	кроихме	кроихте	кроиха	кроях	кроеше	кроеше	крояхме	крояхте	крояха	крои	кроите	кроеики	кроил	кроила	кроило	кроили	кроял	крояла	крояло	кроели	кроящ	крояща	кроящо	кроящи	кроен	кроена	кроено	кроени	кроене	кроенета
круша	круша	крушиш	круши	крушим	крушите	крушат	круших	круши	круши	крушихме	крушихте	крушиха	крушах	крушеше	крушеше	крушахме	крушахте	крушаха	круши	крушете	крушеики	крушил	крушила	крушило	крушили	крушал	крушала	крушало	крушали	крушащ	крушаща	крушащо	крушащи	крушен	крушена	крушено	крушени	крушене	крушенета
кръжа	кръжа	кръжиш	кръжи	кръжим	кръжите	кръжат	кръжих	кръжи	кръжи	кръжихме	кръжихте	кръжиха	кръжах	кръжеше	кръжеше	кръжахме	кръжахте	кръжаха	кръжи	кръжете	кръжеики	кръжил	кръжила	кръжило	кръжили	кръжал	кръжала	кръжало	кръжали	кръжащ	кръжаща	кръжащо	кръжащи	кръжен	кръжена	кръжено	кръжени	кръжене	кръженета
кръстя	кръстя	кръстиш	кръсти	кръстим	кръстите	кръстят	кръстих	кръсти	кръсти	кръстихме	кръстихте	кръстиха	кръстех	кръстеше	кръстеше	кръстехме	кръстехте	кръстеха	кръсти	кръстете	-	кръстил	кръстила	кръстило	кръстили	кръстел	кръстела	кръстело	кръстели	-	-	-	-	кръстен	кръстена	кръстено	кръстени	-	-
кръхукам	-	-	-	-	-	-	кръхуках	кръхука	кръхука	кръхукахме	кръхукахте	кръхукаха	кръхуках	кръхукаше	кръхукаше	кръхукахме	кръхукахте	кръхукаха	кръхукаи	кръхукаите	кръхукаики	кръхукал	кръхукала	кръхукало	кръхукали	кръхукал	кръхукала	кръхукало	кръхукали	кръхукащ	кръхукаща	кръхукащо	кръхукащи	-	-	-	-	кръхукане	кръхуканета
кръщавам	-	-	-	-	-	-	кръщавах	кръщава	кръщава	кръщавахме	кръщавахте	кръщаваха	кръщавах	кръщаваше	кръщаваше	кръщавахме	кръщавахте	кръщаваха	кръщаваи	кръщаваите	-	кръщавал	кръщавала	кръщавало	кръщавали	кръщавал	кръщавала	кръщавало	кръщавали	-	-	-	-	кръщаван	кръщавана	кръщавано	кръщавани	-	-
крякам	-	-	-	-	-	-	кряках	кряка	кряка	крякахме	крякахте	крякаха	кряках	крякаше	крякаше	крякахме	крякахте	крякаха	крякаи	крякаите	крякаики	крякал	крякала	крякало	крякали	крякал	крякала	крякало	крякали	крякащ	крякаща	крякащо	крякащи	-	-	-	-	крякане	кряканета
кубирам	-	-	-	-	-	-	кубирах	кубира	кубира	кубирахме	кубирахте	кубираха	кубирах	кубираше	кубираше	кубирахме	кубирахте	кубираха	кубираи	кубираите	кубираики	кубирал	кубирала	кубирало	кубирали	кубирал	кубирала	кубирало	кубирали	кубиращ	кубираща	кубиращо	кубиращи	кубиран	кубирана	кубирано	кубирани	кубиране	кубиранета
куда	куда	кудеш	куде	кудем	кудете	кудат	кудох	куде	куде	кудохме	кудохте	кудоха	кудех	кудеше	кудеше	кудехме	кудехте	кудеха	куди	кудете	кудеики	кул	кула	куло	кули	кудел	кудела	кудело	кудели	кудещ	кудеща	кудещо	кудещи	куден	кудена	кудено	кудени	кудене	куденета
кудя	кудя	кудиш	куди	кудим	кудите	кудят	кудих	куди	куди	кудихме	кудихте	кудиха	кудех	кудеше	кудеше	кудехме	кудехте	кудеха	куди	кудете	кудеики	кудил	кудила	кудило	кудили	кудел	кудела	кудело	кудели	кудещ	кудеща	кудещо	кудещи	куден	кудена	кудено	кудени	кудене	куденета
кукам	-	-	-	-	-	-	куках	кука	кука	кукахме	кукахте	кукаха	куках	кукаше	кукаше	кукахме	кукахте	кукаха	кукаи	кукаите	кукаики	кукал	кукала	кукало	кукали	кукал	кукала	кукало	кукали	кукащ	кукаща	кукащо	кукащи	-	-	-	-	кукане	куканета
кукуригам	-	-	-	-	-	-	кукуригах	кукурига	кукурига	кукуригахме	кукуригахте	кукуригаха	кукуригах	кукуригаше	кукуригаше	кукуригахме	кукуригахте	кукуригаха	кукуригаи	кукуригаите	кукуригаики	кукуригал	кукуригала	кукуригало	кукуригали	кукуригал	кукуригала	кукуригало	кукуригали	кукуригащ	кукуригаща	кукуригащо	кукуригащи	-	-	-	-	кукуригане	кукуриганета
купувам	-	-	-	-	-	-	купувах	купува	купува	купувахме	купувахте	купуваха	купувах	купуваше	купуваше	купувахме	купувахте	купуваха	купувай	купувайте	купувайки	купувал	купувала	купувало	купували	купувал	купувала	купувало	купували	купуващ	купуваща	купуващо	купуващи	купуван	купувана	купувано	купувани	купуване	купувания-нета
купя	купя	купиш	купи	купим	купите	купят	купих	купи	купи	купихме	купихте	купиха	купех	купеше	купеше	купехме	купехте	купеха	купи	купете	купеики	купил	купила	купило	купили	купел	купела	купело	купели	купящ	купяща	купящо	купящи	купен	купена	купено	купени	купене	купенета
кустря	кустря	кустриш	кустри	кустрим	кустрите	кустрят	кустрих	кустри	кустри	кустрихме	кустрихте	кустриха	кустрех	кустреше	кустреше	кустрехме	кустрехте	кустреха	кустри	кустрете	кустреики	кустрил	кустрила	кустрило	кустрили	кустрел	кустрела	кустрело	кустрели	кустрещ	кустреща	кустрещо	кустрещи	кустрен	кустрена	кустрено	кустрени	кустрене	кустренета
кутя	кутя	кутиш	кути	кутим	кутите	кутят	кутих	кути	кути	кутихме	кутихте	кутиха	кутех	кутеше	кутеше	кутехме	кутехте	кутеха	кути	кутете	кутеики	кутил	кутила	кутило	кутили	кутел	кутела	кутело	кутели	кутещ	кутеща	кутещо	кутещи	кутен	кутена	кутено	кутени	кутене	кутенета
куцам	-	-	-	-	-	-	куцах	куца	куца	куцахме	куцахте	куцаха	куцах	куцаше	куцаше	куцахме	куцахте	куцаха	куцаи	куцаите	куцаики	куцал	куцала	куцало	куцали	куцал	куцала	куцало	куцали	куцащ	куцаща	куцащо	куцащи	-	-	-	-	куцане	куцанета
куцукам	-	-	-	-	-	-	куцуках	куцука	куцука	куцукахме	куцукахте	куцукаха	куцуках	куцукаше	куцукаше	куцукахме	куцукахте	куцукаха	куцукаи	куцукаите	куцукаики	куцукал	куцукала	куцукало	куцукали	куцукал	куцукала	куцукало	куцукали	куцукащ	куцукаща	куцукащо	куцукащи	-	-	-	-	куцукане	куцуканета
кучя	кучя	кучиш	кучи	кучим	кучите	кучят	кучих	кучи	кучи	кучихме	кучихте	кучиха	кучех	кучеше	кучеше	кучехме	кучехте	кучеха	кучи	кучете	кучеики	кучил	кучила	кучило	кучили	кучел	кучела	кучело	кучели	кучещ	кучеща	кучещо	кучещи	кучен	кучена	кучено	кучени	кучене	кученета
куя	куя	куеш	куе	куем	куете	куят	кух	ку	ку	кухме	кухте	куха	куех	куеше	куеше	куехме	куехте	куеха	куи	куите	куеики	кул	кула	куло	кули	куел	куела	куело	куели	куещ	куеща	куещо	куещи	кут	кута	куто	кути	куене	куенета
къбля	къбля	къблиш	къбли	къблим	къблите	къблят	къблих	къбли	къбли	къблихме	къблихте	къблиха	къблях	къблеше	къблеше	къбляхме	къбляхте	къбляха	къбли	къблете	къблеики	къблил	къблила	къблило	къблили	къблял	къбляла	къбляло	къблели	къблящ	къбляща	къблящо	къблящи	къблен	къблена	къблено	къблени	къблене	къбленета
къдря	къдря	къдриш	къдри	къдрим	къдрите	къдрят	къдрих	къдри	къдри	къдрихме	къдрихте	къдриха	къдрех	къдреше	къдреше	къдрехме	къдрехте	къдреха	къдри	къдрете	къдреики	къдрил	къдрила	къдрило	къдрили	къдрел	къдрела	къдрело	къдрели	къдрещ	къдреща	къдрещо	къдрещи	къдрен	къдрена	къдрено	къдрени	къдрене	къдренета
къкря	къкря	къкриш	къкри	къкрим	къкрите	къкрят	къкрих	къкри	къкри	къкрихме	къкрихте	къкриха	къкрех	къкреше	къкреше	къкрехме	къкрехте	къкреха	къкри	къкрете	къкреики	къкрил	къкрила	къкрило	къкрили	къкрел	къкрела	къкрело	къкрели	къкрещ	къкреща	къкрещо	къкрещи	-	-	-	-	къкрене	къкренета
кълва	кълва	кълвеш	кълве	кълвем	кълвете	кълват	кълвах	кълва	кълва	кълвахме	кълвахте	кълваха	кълвях	кълвеше	кълвеше	кълвяхме	кълвяхте	кълвяха	кълви	кълвете	кълвеики	кълвал	кълвала	кълвало	кълвали	кълвял	кълвяла	кълвяло	кълвели	кълвящ	кълвяща	кълвящо	кълвящи	кълван	кълвана	кълвано	кълвани	кълване	кълванета
кълна	кълна	кълнеш	кълне	кълнем	кълнете	кълнат	клех	кле	кле	клехме	клехте	клеха	кълнях	кълнеше	кълнеше	кълняхме	кълняхте	кълняха	кълни	кълнете	кълнеики	клел	клела	клело	клели	кълнял	кълняла	кълняло	кълнели	кълнящ	кълняща	кълнящо	кълнящи	клет	клета	клето	клети	кълнене	кълненета
къна	къна	кънеш	къне	кънем	кънете	кънат	кънах	къна	къна	кънахме	кънахте	кънаха	кънех	кънеше	кънеше	кънехме	кънехте	кънеха	къни	кънете	кънеики	кънал	кънала	кънало	кънали	кънел	кънела	кънело	кънели	кънещ	кънеща	кънещо	кънещи	кънат	къната	кънато	кънати	кънене	къненета
кънтя	кънтя	кънтиш	кънти	кънтим	кънтите	кънтят	кънтях	кънтя	кънтя	кънтяхме	кънтяхте	кънтяха	кънтях	кънтеше	кънтеше	кънтяхме	кънтяхте	кънтяха	кънти	кънтете	кънтеики	кънтял	кънтяла	кънтяло	кънтели	кънтял	кънтяла	кънтяло	кънтели	кънтящ	кънтяща	кънтящо	кънтящи	-	-	-	-	кънтене	кънтенета
къпя	къпя	къпеш	къпе	къпем	къпете	къпят	къпах	къпа	къпа	къпахме	къпахте	къпаха	къпех	къпеше	къпеше	къпехме	къпехте	къпеха	къпи	къпете	къпеики	къпал	къпала	къпало	къпали	къпел	къпела	къпело	къпели	къпещ	къпеща	къпещо	къпещи	къпан	къпана	къпано	къпани	къпане	къпанета
кървя	кървя	кървиш	кърви	кървим	кървите	кървят	кървих	кърви	кърви	кървихме	кървихте	кървиха	кървях	кървеше	кървеше	кървяхме	кървяхте	кървяха	кърви	кървете	кървейки	кървил	кървила	кървило	кървили	кървял	кървяла	кървяло	кървели	кървящ	кървяща	кървящо	кървящи	-	-	-	-	кървене	кървения-нета
къркам	-	-	-	-	-	-	кърках	кърка	кърка	къркахме	къркахте	къркаха	кърках	къркаше	къркаше	къркахме	къркахте	къркаха	къркаи	къркаите	къркаики	къркал	къркала	къркало	къркали	къркал	къркала	къркало	къркали	къркащ	къркаща	къркащо	къркащи	къркан	къркана	къркано	къркани	къркане	кърканета
къркоря	къркоря	къркориш	къркори	къркорим	къркорите	къркорят	къркорих	къркори	къркори	къркорихме	къркорихте	къркориха	къркорех	къркореше	къркореше	къркорехме	къркорехте	къркореха	къркори	къркорете	къркореики	къркорил	къркорила	къркорило	къркорили	къркорел	къркорела	къркорело	къркорели	къркорещ	къркореща	къркорещо	къркорещи	-	-	-	-	къркорене	къркоренета
кърмя	кърмя	кърмиш	кърми	кърмим	кърмите	кърмят	кърмих	кърми	кърми	кърмихме	кърмихте	кърмиха	кърмех	кърмеше	кърмеше	кърмехме	кърмехте	кърмеха	кърми	кърмете	кърмеики	кърмил	кърмила	кърмило	кърмили	кърмел	кърмела	кърмело	кърмели	кърмещ	кърмеща	кърмещо	кърмещи	кърмен	кърмена	кърмено	кърмени	кърмене	кърменета
кърня	кърня	кърниш	кърни	кърним	кърните	кърнят	кърних	кърни	кърни	кърнихме	кърнихте	кърниха	кърнях	кърнеше	кърнеше	кърняхме	кърняхте	кърняха	кърни	кърнете	-	кърнил	кърнила	кърнило	кърнили	кърнял	кърняла	кърняло	кърнели	-	-	-	-	кърнен	кърнена	кърнено	кърнени	-	-
къртя	къртя	къртиш	кърти	къртим	къртите	къртят	къртих	кърти	кърти	къртихме	къртихте	къртиха	къртех	къртеше	къртеше	къртехме	къртехте	къртеха	кърти	къртете	къртеики	къртил	къртила	къртило	къртили	къртел	къртела	къртело	къртели	къртещ	къртеща	къртещо	къртещи	къртен	къртена	къртено	къртени	къртене	къртенета
кърша	кърша	кършиш	кърши	кършим	кършите	кършат	кърших	кърши	кърши	кършихме	кършихте	кършиха	кършех	кършеше	кършеше	кършехме	кършехте	кършеха	кърши	кършете	кършеики	кършил	кършила	кършило	кършили	кършел	кършела	кършело	кършели	кършещ	кършеща	кършещо	кършещи	кършен	кършена	кършено	кършени	кършене	кършенета
късам	-	-	-	-	-	-	късах	къса	къса	късахме	късахте	късаха	късах	късаше	късаше	късахме	късахте	късаха	късаи	късаите	късаики	късал	късала	късало	късали	късал	късала	късало	късали	късащ	късаща	късащо	късащи	късан	късана	късано	късани	късане	късанета
кътам	-	-	-	-	-	-	кътах	къта	къта	кътахме	кътахте	кътаха	кътах	къташе	къташе	кътахме	кътахте	кътаха	кътаи	кътаите	кътаики	кътал	кътала	кътало	кътали	кътал	кътала	кътало	кътали	кътащ	кътаща	кътащо	кътащи	кътан	кътана	кътано	кътани	кътане	кътанета
кътна	кътна	кътнеш	кътне	кътнем	кътнете	кътнат	кътнах	кътна	кътна	кътнахме	кътнахте	кътнаха	кътнех	кътнеше	кътнеше	кътнехме	кътнехте	кътнеха	кътни	кътнете	кътнеики	кътнал	кътнала	кътнало	кътнали	кътнел	кътнела	кътнело	кътнели	кътнещ	кътнеща	кътнещо	кътнещи	кътнат	кътната	кътнато	кътнати	кътнене	кътненета
къцам	-	-	-	-	-	-	къцах	къца	къца	къцахме	къцахте	къцаха	къцах	къцаше	къцаше	къцахме	къцахте	къцаха	къцаи	къцаите	къцаики	къцал	къцала	къцало	къцали	къцал	къцала	къцало	къцали	къцащ	къцаща	къцащо	къцащи	къцан	къцана	къцано	къцани	къцане	къцанета
кютам	-	-	-	-	-	-	кютах	кюта	кюта	кютахме	кютахте	кютаха	кютах	кюташе	кюташе	кютахме	кютахте	кютаха	кютаи	кютаите	кютаики	кютал	кютала	кютало	кютали	кютал	кютала	кютало	кютали	кютащ	кютаща	кютащо	кютащи	кютан	кютана	кютано	кютани	кютане	кютанета
лазя	лазя	лазиш	лази	лазим	лазите	лазят	лазих	лази	лази	лазихме	лазихте	лазиха	лазех	лазеше	лазеше	лазехме	лазехте	лазеха	лази	лазете	лазеики	лазил	лазила	лазило	лазили	лазел	лазела	лазело	лазели	лазещ	лазеща	лазещо	лазещи	-	-	-	-	лазене	лазенета
лаиквам	-	-	-	-	-	-	лаиквах	лаиква	лаиква	лаиквахме	лаиквахте	лаикваха	лаиквах	лаикваше	лаикваше	лаиквахме	лаиквахте	лаикваха	лаикваи	лаикваите	лаикваики	лаиквал	лаиквала	лаиквало	лаиквали	лаиквал	лаиквала	лаиквало	лаиквали	лаикващ	лаикваща	лаикващо	лаикващи	лаикван	лаиквана	лаиквано	лаиквани	лаикване	лаикванета
лакътя	лакътя	лакътиш	лакъти	лакътим	лакътите	лакътят	лакътих	лакъти	лакъти	лакътихме	лакътихте	лакътиха	лакътях	лакътеше	лакътеше	лакътяхме	лакътяхте	лакътяха	лакъти	лакътете	лакътеики	лакътил	лакътила	лакътило	лакътили	лакътял	лакътяла	лакътяло	лакътели	лакътящ	лакътяща	лакътящо	лакътящи	-	-	-	-	лакътене	лакътенета
ламам	-	-	-	-	-	-	ламах	лама	лама	ламахме	ламахте	ламаха	ламах	ламаше	ламаше	ламахме	ламахте	ламаха	ламаи	ламаите	ламаики	ламал	ламала	ламало	ламали	ламал	ламала	ламало	ламали	ламащ	ламаща	ламащо	ламащи	ламан	ламана	ламано	ламани	ламане	ламанета
ламкам	-	-	-	-	-	-	ламках	ламка	ламка	ламкахме	ламкахте	ламкаха	ламках	ламкаше	ламкаше	ламкахме	ламкахте	ламкаха	ламкаи	ламкаите	ламкаики	ламкал	ламкала	ламкало	ламкали	ламкал	ламкала	ламкало	ламкали	ламкащ	ламкаща	ламкащо	ламкащи	ламкан	ламкана	ламкано	ламкани	ламкане	ламканета
лапам	-	-	-	-	-	-	лапах	лапа	лапа	лапахме	лапахте	лапаха	лапах	лапаше	лапаше	лапахме	лапахте	лапаха	лапаи	лапаите	лапаики	лапал	лапала	лапало	лапали	лапал	лапала	лапало	лапали	лапащ	лапаща	лапащо	лапащи	лапан	лапана	лапано	лапани	лапане	лапанета
лаская	лаская	ласкаеш	ласкае	ласкаем	ласкаете	ласкаят	ласках	ласка	ласка	ласкахме	ласкахте	ласкаха	ласкаех	ласкаеше	ласкаеше	ласкаехме	ласкаехте	ласкаеха	ласкаи	ласкаите	ласкаеики	ласкал	ласкала	ласкало	ласкали	ласкаел	ласкаела	ласкаело	ласкаели	ласкаещ	ласкаеща	ласкаещо	ласкаещи	ласкан	ласкана	ласкано	ласкани	ласкане	ласканета
лашкам	-	-	-	-	-	-	лашках	лашка	лашка	лашкахме	лашкахте	лашкаха	лашках	лашкаше	лашкаше	лашкахме	лашкахте	лашкаха	лашкаи	лашкаите	лашкаики	лашкал	лашкала	лашкало	лашкали	лашкал	лашкала	лашкало	лашкали	лашкащ	лашкаща	лашкащо	лашкащи	лашкан	лашкана	лашкано	лашкани	лашкане	лашканета
лая	лая	лаеш	лае	лаем	лаете	лаят	лаях	лая	лая	лаяхме	лаяхте	лаяха	лаех	лаеше	лаеше	лаехме	лаехте	лаеха	лаи	лаите	лаеики	лаял	лаяла	лаяло	лаяли	лаел	лаела	лаело	лаели	лаещ	лаеща	лаещо	лаещи	-	-	-	-	лаене	лаенета
легализирам	-	-	-	-	-	-	легализирах	легализира	легализира	легализирахме	легализирахте	легализираха	легализирах	легализираше	легализираше	легализирахме	легализирахте	легализираха	легализирай	легализирайте	легализирайки	легализирал	легализирала	легализирало	легализирали	легализирал	легализирала	легализирало	легализирали	легализиращ	легализираща	легализиращо	легализиращи	легализиран	легализирана	легализирано	легализирани	легализиране	легализирания-нета
легна	легна	легнеш	легне	легнем	легнете	легнат	легнах	легна	легна	легнахме	легнахте	легнаха	легнех	легнеше	легнеше	легнехме	легнехте	легнеха	легни	легнете	-	легнал	легнала	легнало	легнали	легнел	легнела	легнело	легнели	-	-	-	-	-	-	-	-	-	-
лежа	лежа	лежиш	лежи	лежим	лежите	лежат	лежах	лежа	лежа	лежахме	лежахте	лежаха	лежах	лежеше	лежеше	лежахме	лежахте	лежаха	лежи	лежете	лежеики	лежал	лежала	лежало	лежали	лежал	лежала	лежало	лежали	лежащ	лежаща	лежащо	лежащи	-	-	-	-	лежане	лежанета
лекувам	-	-	-	-	-	-	лекувах	лекува	лекува	лекувахме	лекувахте	лекуваха	лекувах	лекуваше	лекуваше	лекувахме	лекувахте	лекуваха	лекуваи	лекуваите	лекуваики	лекувал	лекувала	лекувало	лекували	лекувал	лекувала	лекувало	лекували	лекуващ	лекуваща	лекуващо	лекуващи	лекуван	лекувана	лекувано	лекувани	лекуване	лекуванета
лелея	лелея	лелееш	лелее	лелеем	лелеете	лелеят	лелеях	лелея	лелея	лелеяхме	лелеяхте	лелеяха	лелеех	лелееше	лелееше	лелеехме	лелеехте	лелееха	лелеи	лелеите	лелееики	лелеял	лелеяла	лелеяло	лелеяли	лелеел	лелеела	лелеело	лелеели	лелеещ	лелееща	лелеещо	лелеещи	лелеян	лелеяна	лелеяно	лелеяни	лелеене	лелеенета
лепя	лепя	лепиш	лепи	лепим	лепите	лепят	лепих	лепи	лепи	лепихме	лепихте	лепиха	лепях	лепеше	лепеше	лепяхме	лепяхте	лепяха	лепи	лепете	лепеики	лепил	лепила	лепило	лепили	лепял	лепяла	лепяло	лепели	лепящ	лепяща	лепящо	лепящи	лепен	лепена	лепено	лепени	лепене	лепенета
летя	летя	летиш	лети	летим	летите	летят	летях	летя	летя	летяхме	летяхте	летяха	летях	летеше	летеше	летяхме	летяхте	летяха	лети	летете	летеики	летял	летяла	летяло	летели	летял	летяла	летяло	летели	летящ	летяща	летящо	летящи	-	-	-	-	летене	летенета
лея	лея	лееш	лее	леем	леете	леят	леях	лея	лея	леяхме	леяхте	леяха	леех	лееше	лееше	леехме	леехте	лееха	леи	леите	лееики	леял	леяла	леяло	лели	леел	леела	леело	леели	леещ	лееща	леещо	леещи	леян	леяна	леяно	лени	леене	леенета
лидам	-	-	-	-	-	-	лидах	лида	лида	лидахме	лидахте	лидаха	лидах	лидаше	лидаше	лидахме	лидахте	лидаха	лидаи	лидаите	лидаики	лидал	лидала	лидало	лидали	лидал	лидала	лидало	лидали	лидащ	лидаща	лидащо	лидащи	лидан	лидана	лидано	лидани	лидане	лиданета
лижа	лижа	лижеш	лиже	лижем	лижете	лижат	лизах	лиза	лиза	лизахме	лизахте	лизаха	лижех	лижеше	лижеше	лижехме	лижехте	лижеха	лижи	лижете	лижейки	лизал	лизала	лизало	лизали	лижел	лижела	лижело	лижели	лижещ	лижеща	лижещо	лижещи	лизан	лизана	лизано	лизани	лизане	лизания-нета
ликвидирам	-	-	-	-	-	-	ликвидирах	ликвидира	ликвидира	ликвидирахме	ликвидирахте	ликвидираха	ликвидирах	ликвидираше	ликвидираше	ликвидирахме	ликвидирахте	ликвидираха	ликвидираи	ликвидираите	ликвидираики	ликвидирал	ликвидирала	ликвидирало	ликвидирали	ликвидирал	ликвидирала	ликвидирало	ликвидирали	ликвидиращ	ликвидираща	ликвидиращо	ликвидиращи	ликвидиран	ликвидирана	ликвидирано	ликвидирани	ликвидиране	ликвидиранета
