# lemma(infinitive)	V;NFIN	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;3	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;3	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP.PRS	V.PTCP.PST  ("-" = productive default)
væntandi	vænta	vænti	væntar	væntar	vænta	væntaði	væntaði	væntaði	væntaðu	vænta	væntið	væntað	væntandi	væntaður
víkja	-	-	víkur	víkur	-	veik	veikst	veik	viku	víkj	-	vikið	-	vikin
vísa	-	-	vísir	vísir	-	vísti	vísti	vísti	vístu	-	-	víst	-	vístur
vóna	-	-	-	-	-	-	-	-	-	vóna	-	-	-	-
vóru	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
vórðu	verða	verði	verður	verður	verða	varð	varð	varð	vórðu	verð	verðið	-	verðandi	vorðin
ynskja	-	-	ynskir	ynskir	-	ynskti	ynskti	ynskti	ynsktu	-	ynskið	ynskt	-	ynsktur
yrkja	-	-	yrkir	yrkir	-	yrkti	yrkti	yrkti	yrktu	-	yrkið	yrkt	-	yrktur
átala	-	-	-	-	-	-	-	-	-	átala	-	-	-	-
átti	eiga	eigi	eigureigir	eigureigir	eiga	áttiár	áttiár	áttiár	áttu	eig	eigið	átt	eigandi	-
æla	-	-	-	-	-	-	-	-	-	æla	-	-	-	-
æt	eita	eiti	eitur	eitur	eita	hæt	hæt	hæt	hitu	eit	eitið	hitið	eitandi	hitin
ætla	-	-	-	-	-	-	-	-	-	ætla	-	-	-	-
ímynda	-	-	-	-	-	-	-	-	-	ímynda	-	-	-	-
ísna	-	-	-	-	-	-	-	-	-	ísna	-	-	-	-
órógva	-	-	-	-	-	-	-	-	-	órógva	-	-	-	-
økja	-	-	økir	økir	-	økti	økti	økti	øktu	-	økið	økt	-	øktur
útnevna	-	-	útnevnir	útnevnir	-	útnevndi	útnevndi	útnevndi	útnevndu	-	-	útnevnt	-	útnevndur
útvega	-	-	-	-	-	-	-	-	-	útvega	-	-	-	-
ýa	-	-	ýir	ýir	-	ýddi	ýddi	ýddi	ýddu	-	-	ýtt	-	ýddur
ýla	-	-	ýlir	ýlir	-	ýldi	ýldi	ýldi	ýldu	-	-	ýlt	-	ýldur
